sheet,geography,resource,year,normalized_quantity,normalized_unit,source_title,source_url,citation_locator,note,evidence_scope,target_match_status,slot_support_status,localization_discount,validation_note,row_id,row_status,supersedes_row_id,state_pass_index,changed_on,change_reason
W_Cape,W. Cape target,Wheat Farm,2024,1084000.0,t output,South African Wheat Crop Quality Report 2023/2024 Season,https://sagl.co.za/wp-content/uploads/WC-2023-2024-pg-3.pdf,The Western Cape produced 1 084 000 tons of wheat this season,Modern benchmark for Western Cape wheat output.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0001,active,,0,,baseline row
W_Cape,W. Cape target,Vineyard,2023,900000.0,t output,Western Cape Agricultural Sector Profile 2024,https://www.elsenburg.com/wp-content/uploads/2025/09/2024-WCAgricSectorProfile.pdf,"Commercial agriculture in the Western Cape ... was responsible for ... 0,9 million metric tons of wine grapes in 2023.",Modern benchmark for the Western Cape vineyard row using province-level wine-grape tonnage.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0002,active,,0,,baseline row
W_Cape,W. Cape target,Wood,2017,43146.0,ha managed forestry,Trade & Industrial Policy Strategies: South Africa’s Forestry Value Chain,https://www.tips.org.za/policy-briefs/item/download/1951_b81dc50ab22218561eec628aa634d782,"Western Cape afforested area = 43,146 ha in 2017.",Managed-forestry benchmark for the Cape Colony wood row using afforested plantation area rather than roundwood throughput.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0003,active,,0,,baseline row
NCape_NW,N. Cape + NW target,Wheat Farm,2024,292000.0,t output,South African Wheat Crop Quality Report 2023/2024 Season,https://sagl.co.za/wp-content/uploads/WC-2023-2024-pg-3.pdf,The irrigation areas of the Northern Cape ... produced 292 000 tons,Modern benchmark for Northern Cape wheat output.,regional_proxy,partial_overlap,distinct_slot_supported,0.95,Northern Cape target observations rely on a bounded Northern Cape plus North West proxy rather than a perfect state-only series.,modern-anchor-0004,active,,0,,baseline row
NCape_NW,N. Cape + NW target,Iron Mine,2010,41300000.0,t output,Kumba Iron Ore Limited Board of Directors’ Annual Report 2010,https://www.kumba.co.za/~/media/Files/A/Anglo-American-Group/Kumba/report-library/2010/comm-full.pdf,Sishen Mine – Annual production: 41.3Mt (2010); Northern Cape province profile,Modern benchmark for Northern Cape iron output.,regional_proxy,partial_overlap,distinct_slot_supported,0.95,Northern Cape target observations rely on a bounded Northern Cape plus North West proxy rather than a perfect state-only series.,modern-anchor-0005,active,,0,,baseline row
Limpopo,Limpopo target,Wheat Farm,2024,195000.0,t output,South African Wheat Crop Quality Report 2023/2024 Season,https://sagl.co.za/wp-content/uploads/WC-2023-2024-pg-3.pdf,The remainder of wheat was produced mainly in Limpopo with 195 000 tons,Modern benchmark for Limpopo wheat output.,regional_proxy,partial_overlap,distinct_slot_supported,0.9,Northern Transvaal target observations use a bounded Limpopo proxy for the split northern state footprint.,modern-anchor-0006,active,,0,,baseline row
Limpopo,Limpopo target,Iron Mine,2010,2000000.0,t output,Kumba Iron Ore Limited Board of Directors’ Annual Report 2010,https://www.kumba.co.za/~/media/Files/A/Anglo-American-Group/Kumba/report-library/2010/comm-full.pdf,Thabazimbi Mine – Annual production: 2.0Mt (2010); Limpopo province profile,Modern benchmark for Limpopo iron output.,regional_proxy,partial_overlap,distinct_slot_supported,0.9,Northern Transvaal target observations use a bounded Limpopo proxy for the split northern state footprint.,modern-anchor-0007,active,,0,,baseline row
Limpopo,Limpopo target,Coal Mine,2010,18800000.0,t output,South Africa's Coalfields – A 2014 Perspective,https://pure.port.ac.uk/ws/portalfiles/portal/7408362/South_Africa_s_coalfields.pdf,Waterberg Coalfield section: Grootegeluk ... producing some 18.8 Mtpa of coal products from 38.0 Mtpa RoM.,Modern benchmark for the Waterberg coal row in the Northern Transvaal target sheet.,regional_proxy,partial_overlap,distinct_slot_supported,0.9,Northern Transvaal target observations use a bounded Limpopo proxy for the split northern state footprint.,modern-anchor-0008,active,,0,,baseline row
Mpm_ESW,Mpumalanga + Eswatini target,Coal Mine,2008,220000000.0,t output,Mpumalanga Economic Summit – Mining,https://dedtkm.mpg.gov.za/images/km/economic_summit/mining.pdf,COAL – MPUMALANGA HIGHVELD – PRODUCTION 220 MILLION TON (SA = 251),Modern benchmark for the Mpumalanga coal belt used in the humid escarpment/Highveld target row.,regional_proxy,partial_overlap,distinct_slot_supported,0.95,Eastern Transvaal target observations rely on a bounded Mpumalanga plus Eswatini proxy rather than a perfect state-only series.,modern-anchor-0009,active,,0,,baseline row
Mpm_ESW,Mpumalanga + Eswatini target,Wood,2020,348111.0,ha managed forestry,Report on Commercial Timber Resources and Primary Roundwood Processing in South Africa 2019/2020,https://www.dffe.gov.za/sites/default/files/reports/research/forestry/annualreport_commercialtimberresources_primaryroundwoodprocessing2019to2020.pdf,"Table 20: Mpumalanga plantation area in 2019/20 = 348,111 ha.",Managed-forestry benchmark for Eastern Transvaal using the broader Mpumalanga plantation belt.,regional_proxy,partial_overlap,distinct_slot_supported,0.95,Eastern Transvaal target observations rely on a bounded Mpumalanga plus Eswatini proxy rather than a perfect state-only series.,modern-anchor-0010,active,,0,,baseline row
Free_State,Free State target,Wheat Farm,2024,280800.0,t output,South African Wheat Crop Quality Report 2023/2024 Season,https://sagl.co.za/wp-content/uploads/WC-2023-2024-pg-3.pdf,The Free State’s wheat production (280 800 tons),Modern benchmark for Free State wheat output.,state_localized,direct,distinct_slot_supported,1.0,Transorangia target observations are treated as state-localized evidence.,modern-anchor-0011,active,,0,,baseline row
Lesotho,Lesotho target,Maize Farm,2025,45780.0,t output,IPC Acute Food Insecurity Analysis – Lesotho,https://lvac.gov.ls/media/reports/IPC_Lesotho_Acute_Food_Insecurity_May2025_Mar2026_Report.pdf,"maize shows a 19 percent decrease in 2025 compared to the previous year (2024) representing 45,780 metric tons (MT)",Modern benchmark for Lesotho maize output.,state_localized,direct,distinct_slot_supported,1.0,Drakensberg target observations are treated as state-localized evidence.,modern-anchor-0012,active,,0,,baseline row
Lesotho,Lesotho target,Maize Farm,2000,277626.0,t output,Kingdom of Lesotho Agricultural Census 2019/2020 Preliminary Report,https://www.fao.org/fileadmin/user_upload/wca/docs/LSO_REP_ENG_2019_2020.pdf,"Table 1. Area planted, area harvested and production of major crop by type and year, 1999/2000: Maize production = 277,626 mt.",Later benchmark for Lesotho maize output.,state_localized,direct,distinct_slot_supported,1.0,Drakensberg target observations are treated as state-localized evidence.,modern-anchor-0013,active,,0,,baseline row
Lesotho,Lesotho target,Wheat Farm,2000,12841.0,t output,Kingdom of Lesotho Agricultural Census 2019/2020 Preliminary Report,https://www.fao.org/fileadmin/user_upload/wca/docs/LSO_REP_ENG_2019_2020.pdf,"Table 1. Area planted, area harvested and production of major crop by type and year, 1999/2000: Wheat production = 12,841 mt.",Later benchmark for Lesotho wheat output.,state_localized,direct,distinct_slot_supported,1.0,Drakensberg target observations are treated as state-localized evidence.,modern-anchor-0014,active,,0,,baseline row
Lesotho,Lesotho target,Millet Farm,2000,26807.0,t output,Kingdom of Lesotho Agricultural Census 2019/2020 Preliminary Report,https://www.fao.org/fileadmin/user_upload/wca/docs/LSO_REP_ENG_2019_2020.pdf,"Table 1. Area planted, area harvested and production of major crop by type and year, 1999/2000: Sorghum production = 26,807 mt.",Later sorghum benchmark mapped onto the Millet Farm row for Lesotho.,state_localized,direct,distinct_slot_supported,1.0,Drakensberg target observations are treated as state-localized evidence.,modern-anchor-0015,active,,0,,baseline row
Lesotho,Lesotho target,Livestock Ranch,2000,755134.0,head cattle,Kingdom of Lesotho Agricultural Census 2019/2020 Preliminary Report,https://www.fao.org/fileadmin/user_upload/wca/docs/LSO_REP_ENG_2019_2020.pdf,"Table 10. Number of livestock trend by type of livestock for 1999/2000, 2009/2010 and 2019/2020: Cattle 1999/2000 = 755,134.",Later livestock benchmark for Lesotho using the cattle trend series.,state_localized,direct,distinct_slot_supported,1.0,Drakensberg target observations are treated as state-localized evidence.,modern-anchor-0016,active,,0,,baseline row
S_Moz,Southern Mozambique target,Sugar Plantation,2023,1621251.0,t output,Anuário Estatístico Nacional 2023 – Mozambique,https://www.ine.gov.mz/documents/20119/297001/Anuario%20Estatistico%20Nacional%202023_13.12.2024.pdf/790ba53d-6316-8aa3-e89f-1db4e6727113?download=true&t=1734616398353&version=1.0,"Produção das culturas de rendimento, 2023: Cana de açúcar 1 621 251",National cash-crop benchmark used as a proxy for the southern Mozambique sugar row.,regional_proxy,partial_overlap,distinct_slot_supported,0.9,Lourenço Marques target observations use a bounded southern Mozambique proxy rather than a perfect state-only series.,modern-anchor-0017,active,,0,,baseline row
S_Moz,Southern Mozambique target,Cotton Plantation,2019,100842.0,t output,Anuário Estatístico Nacional 2023 – Mozambique,https://www.ine.gov.mz/documents/20119/297001/Anuario%20Estatistico%20Nacional%202023_13.12.2024.pdf/790ba53d-6316-8aa3-e89f-1db4e6727113?download=true&t=1734616398353&version=1.0,"Produção das culturas de rendimento, 2019: Algodão Caroço 100 842",National cash-crop benchmark used as a proxy for the southern Mozambique cotton row.,regional_proxy,partial_overlap,distinct_slot_supported,0.9,Lourenço Marques target observations use a bounded southern Mozambique proxy rather than a perfect state-only series.,modern-anchor-0018,active,,0,,baseline row
S_Moz,Southern Mozambique target,Banana Plantation,2019,505000.0,t output,Anuário Estatístico Nacional 2023 – Mozambique,https://www.ine.gov.mz/documents/20119/297001/Anuario%20Estatistico%20Nacional%202023_13.12.2024.pdf/790ba53d-6316-8aa3-e89f-1db4e6727113?download=true&t=1734616398353&version=1.0,"Produção das culturas de rendimento, 2019: Banana 505 000",National crop benchmark used as a proxy for the southern Mozambique banana row.,regional_proxy,partial_overlap,distinct_slot_supported,0.9,Lourenço Marques target observations use a bounded southern Mozambique proxy rather than a perfect state-only series.,modern-anchor-0019,active,,0,,baseline row
Zimbabwe,Zimbabwe target,Coal Mine,1991,5900000.0,t output,Coal Deposits,https://www.geologicalsociety.org.zw/sites/default/files/news-attachments/Coal%20Deposits%20Lesley%20Jeffrey%20Nov21%20GSZ.pdf,Hwange Coal Mine – Peak production in 1991: 5.9 Mtpa,Modern benchmark for Zimbabwe coal output.,national_fallback,partial_overlap,distinct_slot_supported,0.85,Zambezi target observations use a bounded Zimbabwe-wide fallback because many published series are national rather than split-state.,modern-anchor-0020,active,,0,,baseline row
Zimbabwe,Zimbabwe target,Tea Plantation,1999,10000.0,t output,Company History – Tanganda Tea,https://tangandatea.com/history-and-values/,1998/9: First annual production of over 10000 tonnes of made tea,Modern benchmark for Eastern Highlands tea output.,national_fallback,partial_overlap,distinct_slot_supported,0.85,Zambezi target observations use a bounded Zimbabwe-wide fallback because many published series are national rather than split-state.,modern-anchor-0021,active,,0,,baseline row
Zimbabwe,Zimbabwe target,Tea Plantation,2002,11000.0,t output,Company History – Tanganda Tea,https://tangandatea.com/history-and-values/,2002: Ratelshoek ... total production over 11000 tonnes,Later benchmark for Zimbabwe tea output.,national_fallback,partial_overlap,distinct_slot_supported,0.85,Zambezi target observations use a bounded Zimbabwe-wide fallback because many published series are national rather than split-state.,modern-anchor-0022,active,,0,,baseline row
Zimbabwe,Zimbabwe target,Tea Plantation,2023,7894.0,t output,Tanganda Tea Company Limited Annual Report 2023,https://tangandatea.com/wp-content/uploads/2024/02/TANGANDA-TEA-COMPANY-LIMITED-Annual-Report-2023.pdf,Bulk tea production ... 7 894 tonnes ... produced to September 2023.,Recent benchmark for the Zimbabwe tea row from Tanganda's Eastern Highlands estates.,national_fallback,partial_overlap,distinct_slot_supported,0.85,Zambezi target observations use a bounded Zimbabwe-wide fallback because many published series are national rather than split-state.,modern-anchor-0023,active,,0,,baseline row
Botswana,Botswana target,Coal Mine,2024,2450000.0,t output,Committee of Supply – March 2025,https://www.gov.bw/sites/default/files/2025-03/Committee%20of%20Supply%20%20-%20March%202025.pdf,Morupule Coal Mine year-to-date performance as at December 2024 was 2.45 million tonnes,Modern benchmark for Botswana coal output.,state_localized,direct,distinct_slot_supported,1.0,Botswana target observations are treated as state-localized evidence.,modern-anchor-0024,active,,0,,baseline row
Botswana,Botswana target,Livestock Ranch,2002,3060000.0,head cattle,Statistical Year Book 2017,https://istmat.org/files/uploads/63469/botswana_statistical_year_book_2017.pdf,"Table 1. Livestock Population (Number '000) 1990-2017: Cattle 2002 = 3,060.",Modern cattle benchmark for Botswana's livestock row.,state_localized,direct,distinct_slot_supported,1.0,Botswana target observations are treated as state-localized evidence.,modern-anchor-0025,active,,0,,baseline row
Botswana,Botswana target,Maize Farm,2011,29000.0,t output,Statistical Year Book 2017,https://istmat.org/files/uploads/63469/botswana_statistical_year_book_2017.pdf,"Table 2C. Crop statistics, production: Maize 2011 = 29 ('000 tonnes).",Modern maize benchmark for the Botswana row.,state_localized,direct,distinct_slot_supported,1.0,Botswana target observations are treated as state-localized evidence.,modern-anchor-0026,active,,0,,baseline row
Botswana,Botswana target,Millet Farm,1995,19000.0,t output,Statistical Year Book 2017,https://istmat.org/files/uploads/63469/botswana_statistical_year_book_2017.pdf,"Table 2C. Crop statistics, production: Millet 1995 = 19 ('000 tonnes).",Modern millet benchmark for the Botswana row.,state_localized,direct,distinct_slot_supported,1.0,Botswana target observations are treated as state-localized evidence.,modern-anchor-0027,active,,0,,baseline row
N_Namibia,Northern Namibia target,Livestock Ranch,2010,276975.0,head cattle,Omusati Regional Profile,https://omusatirc.gov.na/documents/370745/515860/Omusati_Regionall_Profile.pdf/c1c714df-d734-7ccd-4d52-b9ddeeff9d40,"According to statistics of the 2010 Livestock Census, there are 276,975 cattle ... 14,737 sheep ... 245,497 goats",Northern Namibia livestock benchmark using the Omusati communal-farming row as an auditable proxy.,regional_proxy,partial_overlap,distinct_slot_supported,0.9,Hereroland target observations use a bounded northern Namibia proxy rather than a perfect state-only series.,modern-anchor-0028,active,,0,,baseline row
S_Namibia,Southern Namibia target,Livestock Ranch,2019,54147.0,karakul pelts,2023 Agricultural Statistics Bulletin – Namibia,https://mawf.gov.na/documents/268157/1135181/2023%2BAGRICULTURAL%2BSTATISTICS%2BBULLETIN.pdf/25ae1806-e3b6-44aa-0f9e-b57829ec4253?download=true&t=1754901488482,"Figure/Table 3.1.5: 54,147 units produced in 2019","Southern Namibia ranching benchmark using the karakul pelt series, which is concentrated in the arid south.",regional_proxy,partial_overlap,distinct_slot_supported,0.9,Namaqualand target observations use a bounded southern Namibia proxy rather than a perfect state-only series.,modern-anchor-0029,active,,0,,baseline row
S_Namibia,Southern Namibia target,Livestock Ranch,2023,7903.0,karakul pelts,2023 Agricultural Statistics Bulletin – Namibia,https://mawf.gov.na/documents/268157/1135181/2023%2BAGRICULTURAL%2BSTATISTICS%2BBULLETIN.pdf/25ae1806-e3b6-44aa-0f9e-b57829ec4253?download=true&t=1754901488482,"In 2023, production increased to 7,903 units ... compared to 54,147 units produced in 2019",Recent benchmark for the southern Namibia karakul pelt series.,regional_proxy,partial_overlap,distinct_slot_supported,0.9,Namaqualand target observations use a bounded southern Namibia proxy rather than a perfect state-only series.,modern-anchor-0030,active,,0,,baseline row
W_Cape,"South Australia
STATE_SOUTH_AUSTRALIA
Vanilla name: STATE_SOUTH_AUSTRALIA",Wheat Farm,2022,6829575.0,t output,"Australian Agriculture: Broadacre Crops, 2023-24",https://www.abs.gov.au/statistics/industry/agriculture/australian-agriculture-broadacre-crops/2023-24/AABDC_Winter_Broadacre_202324.xlsx,"Table 1, Wheat for grain or seed - Levied production (t); row South Australia; max available year 2022.",ABS official state and territory series; maximum available series value used.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0031,active,,0,,baseline row
W_Cape,"South Australia
STATE_SOUTH_AUSTRALIA
Vanilla name: STATE_SOUTH_AUSTRALIA",Livestock Ranch,2005,13776224.0,head livestock,"Australian Agriculture: Livestock, 2023-24",https://www.abs.gov.au/statistics/industry/agriculture/australian-agriculture-livestock/2023-24/AALDC_Cattle%20herd%20series_2005%20to%202024.xlsx,"Table 1 cattle herd series plus sheep flock series; South Australia; cattle max year 2005, sheep max year 2004.",Generic livestock proxy built from cattle plus sheep series because Victoria 3 ranching combines large- and small-stock systems.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,modern-anchor-0032,active,,0,,baseline row
