state,resource,researched_plausible,live_enabled_in_state,basket_membership_status,audit_relevance,gameplay_note
Cape Colony,Wheat Farm,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Cape Colony,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Cape Colony,Vineyard,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Cape Colony,Tea Plantation,no,yes,live_only,gameplay_or_crop_audit_only,Live gameplay resource sits outside the researched crop-suitability basket.
Cape Colony,Maize Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Millet Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Sugar Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Tobacco Plantation,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Cape Colony,Banana Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Coffee Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Cotton Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Rice Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Dye Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Opium,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Silk Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Wheat Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Northern Cape,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Northern Cape,Vineyard,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Northern Cape,Tea Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Maize Farm,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Northern Cape,Millet Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Northern Cape,Sugar Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Tobacco Plantation,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Northern Cape,Banana Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Coffee Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Cotton Plantation,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Northern Cape,Rice Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Dye Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Opium,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Silk Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Wheat Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Eastern Cape,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Eastern Cape,Vineyard,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Tea Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Maize Farm,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Eastern Cape,Millet Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Sugar Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Tobacco Plantation,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Eastern Cape,Banana Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Coffee Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
