state,pass_order,pass_status,completed_rows,changed_rows,family_rewrites_triggered,live_synced,last_completed_pass_index,summary_note
Cape Colony,1,accepted,30,6,0,yes,1,Accepted on pass 1; 6 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Northern Cape,2,accepted,30,10,0,yes,2,Accepted on pass 2; 10 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Eastern Cape,3,accepted,30,8,0,yes,3,Accepted on pass 3; 8 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
West Transvaal,4,accepted,30,11,0,yes,4,Accepted on pass 4; 11 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Eastern Transvaal,5,accepted,30,9,0,yes,5,Accepted on pass 5; 9 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Northern Transvaal,6,accepted,30,11,0,yes,6,Accepted on pass 6; 11 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Transorangia,7,accepted,30,13,0,yes,7,Accepted on pass 7; 13 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Zululand,8,accepted,30,6,0,yes,8,Accepted on pass 8; 6 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Drakensberg,9,accepted,30,10,0,yes,9,Accepted on pass 9; 10 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Botswana,10,accepted,30,5,0,yes,10,Accepted on pass 10; 5 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Lourenço Marques,11,accepted,30,10,0,yes,11,Accepted on pass 11; 10 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Zambezi,12,accepted,30,11,0,yes,12,Accepted on pass 12; 11 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Hereroland,13,accepted,30,9,0,yes,13,Accepted on pass 13; 9 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Namaqualand,14,accepted,30,7,0,yes,14,Accepted on pass 14 after lead repair; 7 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
