resource_family,valid_comparator_count,denominator_units_per_cap,status,method
Coal Mine,20,468047.34342047106,formula-driven,simple_mean_of_20_comparator_pool
Iron Mine,20,63712.72421147216,formula-driven,simple_mean_of_20_comparator_pool
Gold Fields,20,4.638038205553189,formula-driven,simple_mean_of_20_comparator_pool
Gold Mine,20,4.638038205553189,formula-driven,simple_mean_of_20_comparator_pool
Lead Mine,20,1424.3862580391383,formula-driven,simple_mean_of_20_comparator_pool
Sulfur Mine,20,724.5356827022322,formula-driven,simple_mean_of_20_comparator_pool
Fishing,20,5950.541160752551,formula-driven,simple_mean_of_20_comparator_pool
Whaling,0,,denominator_unavailable,insufficient_comparator_pool
Oil,0,,denominator_unavailable,insufficient_comparator_pool
Rubber,20,10000.0,formula-driven,mean_of_effective_latent_rubber_comparator_pool
Wood,20,33257.48168598174,formula-driven,mean_of_effective_commercial_forestry_comparator_pool
