sheet_key,official_state,rank,band,weight,comparator,country,why,matched_raw_geography,proxy_state_id,vanilla_proxy_arable_land
W_Cape,Cape Colony,1,1-5,10,South Australia,Australia,"Closest full-package match: Mediterranean south coast, wine districts, wheat–sheep belt, orchard valleys, and a strong coastal-to-inland gradient.",South Australia,STATE_SOUTH_AUSTRALIA,30
W_Cape,Cape Colony,2,1-5,10,Maule Region,Chile,"Mediterranean valley-and-coast agriculture with wine, fruit, cereals, and sheep; somewhat cooler and more summer-rainfall influenced in parts.",Maule Region,STATE_SANTIAGO,50
W_Cape,Cape Colony,3,1-5,10,Western Australia,Australia,Southwest corner has a classic wheat–sheep belt plus wine and fruit; flatter and more spatially extensive than the Western Cape.,Western Australia,STATE_WESTERN_AUSTRALIA,30
W_Cape,Cape Colony,4,1-5,10,O'Higgins Region,Chile,Mediterranean fruit-and-wine region with valley farming and surrounding uplands; less maritime and less sheep-oriented than the Cape.,O'Higgins Region,STATE_SANTIAGO,50
W_Cape,Cape Colony,5,1-5,10,California,United States,"Especially the Central Coast/Central Valley mix: Mediterranean climate, vineyards, fruit, and irrigated field crops; much larger and more irrigation-heavy.",California,STATE_CALIFORNIA,300
W_Cape,Cape Colony,6,6-10,5,Valparaíso Region,Chile,"Mediterranean coastal hills with wine, fruit, and vegetables; less cereal/sheep weight than the Cape interior.",Valparaíso Region,STATE_SANTIAGO,50
W_Cape,Cape Colony,7,6-10,5,Andalusia,Spain,"Dry Mediterranean with vineyards, wheat, and sheep/goats; hotter and more olive-dominant.",,,
W_Cape,Cape Colony,8,6-10,5,Alentejo,Portugal,Rolling dry Mediterranean grain–sheep–wine landscape; flatter and more inland than the Western Cape.,,,
W_Cape,Cape Colony,9,6-10,5,Extremadura,Spain,Strong cereal-livestock similarity and Mediterranean dryness; weaker coastal and fruit-valley analogue.,,,
W_Cape,Cape Colony,10,6-10,5,Sicily,Italy,"Mediterranean vineyards, citrus, wheat, and sheep; island setting and heat regime are stronger than in the Western Cape.",,,
W_Cape,Cape Colony,11,11-15,2,Sardinia,Italy,Very good sheep–wine–grain analogue in a Mediterranean setting; less orchard-valley emphasis.,,,
W_Cape,Cape Colony,12,11-15,2,Peloponnese,Greece,"Mediterranean coast-plus-hills with vineyards, citrus, and grazing; more olive-heavy and generally hotter.",,,
W_Cape,Cape Colony,13,11-15,2,Tuscany,Italy,"Wine, wheat, olive, and hill-country agriculture fit well; somewhat cooler/wetter and more forested.",,,
W_Cape,Cape Colony,14,11-15,2,Catalonia,Spain,"Mediterranean coast, vineyards, fruit, and cereals; more urban-industrial and less sheep-centered.",,,
W_Cape,Cape Colony,15,11-15,2,Occitanie,France,Mediterranean wine belt with cereal and sheep zones in the hinterland; less comparable dryland grain structure.,,,
W_Cape,Cape Colony,16,16-20,1,Provence-Alpes-Côte d'Azur,France,Mediterranean fruit and viticulture in coastal valleys and foothills; weaker wheat–sheep match.,,,
W_Cape,Cape Colony,17,16-20,1,Valencian Community,Spain,Mediterranean fruit/citrus and wine zone; more irrigation- and citrus-weighted than the Western Cape.,,,
W_Cape,Cape Colony,18,16-20,1,Manisa Province,Turkey,"Aegean Mediterranean interior with grapes, olives, cereals, and livestock; less maritime-cool and less wheat-sheep balanced.",,,
