state,land_class,representative_year,raw_area_ha,effective_weight,effective_area_ha,year_selection_reason,capacity_note,citation_1_title,citation_1_url,citation_1_locator,citation_2_title,citation_2_url,citation_2_locator,evidence_scope,target_match_status,slot_support_status,localization_discount,validation_note,row_id,row_status,supersedes_row_id,state_pass_index,changed_on,change_reason
Cape Colony,high_suitability_plantation,1936,0.0,1.0,0.0,Latent rubber is audited as potential effective commercial plantation land; representative year is metadata only and not GDP-selected.,"Cape Colony stays outside the latent-rubber model; its agricultural identity is Mediterranean grain, vines, fruit, and mixed farming rather than humid plantation land.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Cape winter-rain grain-and-vine system; no humid plantation belt comparable to rubber country is frozen here.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",state_localized,direct,broad_potential_only,1.0,Cape Colony is a Mediterranean grain-and-vine state rather than a humid rubber plantation belt.,rubber-target-capacity-0001,active,,0,,baseline row
Cape Colony,moderate_suitability_plantation,1936,0.0,0.6,0.0,Latent rubber is audited as potential effective commercial plantation land; representative year is metadata only and not GDP-selected.,"Cape Colony stays outside the latent-rubber model; its agricultural identity is Mediterranean grain, vines, fruit, and mixed farming rather than humid plantation land.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Cape winter-rain grain-and-vine system; no humid plantation belt comparable to rubber country is frozen here.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",state_localized,direct,broad_potential_only,1.0,Cape Colony is a Mediterranean grain-and-vine state rather than a humid rubber plantation belt.,rubber-target-capacity-0002,active,,0,,baseline row
Cape Colony,marginal_suitability_plantation,1936,0.0,0.2,0.0,Latent rubber is audited as potential effective commercial plantation land; representative year is metadata only and not GDP-selected.,"Cape Colony stays outside the latent-rubber model; its agricultural identity is Mediterranean grain, vines, fruit, and mixed farming rather than humid plantation land.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Cape winter-rain grain-and-vine system; no humid plantation belt comparable to rubber country is frozen here.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",state_localized,direct,broad_potential_only,1.0,Cape Colony is a Mediterranean grain-and-vine state rather than a humid rubber plantation belt.,rubber-target-capacity-0003,active,,0,,baseline row
Cape Colony,unsuitable_or_noncommercial,1936,0.0,0.0,0.0,Latent rubber is audited as potential effective commercial plantation land; representative year is metadata only and not GDP-selected.,"Cape Colony stays outside the latent-rubber model; its agricultural identity is Mediterranean grain, vines, fruit, and mixed farming rather than humid plantation land.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Cape winter-rain grain-and-vine system; no humid plantation belt comparable to rubber country is frozen here.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",state_localized,direct,broad_potential_only,1.0,Cape Colony is a Mediterranean grain-and-vine state rather than a humid rubber plantation belt.,rubber-target-capacity-0004,active,,0,,baseline row
Northern Cape,high_suitability_plantation,1936,0.0,1.0,0.0,Latent rubber is audited as potential effective commercial plantation land; representative year is metadata only and not GDP-selected.,Northern Cape remains outside the latent-rubber model; Orange irrigation and dry grazing do not create a rubber slot.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Northern Cape row: livestock, fishing, and whaling dominate; irrigated river agriculture is narrow and dry-country dominated.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Northern Cape is arid, with Orange irrigation and grazing belts rather than humid plantation country.",state_localized,direct,broad_potential_only,1.0,Northern Cape is arid and does not support a distinct latent-rubber slot.,rubber-target-capacity-0005,active,,0,,baseline row
Northern Cape,moderate_suitability_plantation,1936,0.0,0.6,0.0,Latent rubber is audited as potential effective commercial plantation land; representative year is metadata only and not GDP-selected.,Northern Cape remains outside the latent-rubber model; Orange irrigation and dry grazing do not create a rubber slot.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Northern Cape row: livestock, fishing, and whaling dominate; irrigated river agriculture is narrow and dry-country dominated.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Northern Cape is arid, with Orange irrigation and grazing belts rather than humid plantation country.",state_localized,direct,broad_potential_only,1.0,Northern Cape is arid and does not support a distinct latent-rubber slot.,rubber-target-capacity-0006,active,,0,,baseline row
Northern Cape,marginal_suitability_plantation,1936,0.0,0.2,0.0,Latent rubber is audited as potential effective commercial plantation land; representative year is metadata only and not GDP-selected.,Northern Cape remains outside the latent-rubber model; Orange irrigation and dry grazing do not create a rubber slot.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Northern Cape row: livestock, fishing, and whaling dominate; irrigated river agriculture is narrow and dry-country dominated.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Northern Cape is arid, with Orange irrigation and grazing belts rather than humid plantation country.",state_localized,direct,broad_potential_only,1.0,Northern Cape is arid and does not support a distinct latent-rubber slot.,rubber-target-capacity-0007,active,,0,,baseline row
Northern Cape,unsuitable_or_noncommercial,1936,0.0,0.0,0.0,Latent rubber is audited as potential effective commercial plantation land; representative year is metadata only and not GDP-selected.,Northern Cape remains outside the latent-rubber model; Orange irrigation and dry grazing do not create a rubber slot.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Northern Cape row: livestock, fishing, and whaling dominate; irrigated river agriculture is narrow and dry-country dominated.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Northern Cape is arid, with Orange irrigation and grazing belts rather than humid plantation country.",state_localized,direct,broad_potential_only,1.0,Northern Cape is arid and does not support a distinct latent-rubber slot.,rubber-target-capacity-0008,active,,0,,baseline row
Eastern Cape,high_suitability_plantation,1936,0.0,1.0,0.0,Latent rubber is audited as potential effective commercial plantation land; representative year is metadata only and not GDP-selected.,"Eastern Cape remains outside the latent-rubber model; the state is mixed-farming, stock, and temperate coastal agriculture rather than rubber country.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Eastern Cape profile is grain, stock, and coastal mixed farming rather than a humid tropical plantation belt.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Eastern Cape analogues are mixed-farming and grazing systems, not rubber-plantation states.",state_localized,direct,broad_potential_only,1.0,Eastern Cape is a mixed-farming and stock state rather than a localized rubber belt.,rubber-target-capacity-0009,active,,0,,baseline row
Eastern Cape,moderate_suitability_plantation,1936,0.0,0.6,0.0,Latent rubber is audited as potential effective commercial plantation land; representative year is metadata only and not GDP-selected.,"Eastern Cape remains outside the latent-rubber model; the state is mixed-farming, stock, and temperate coastal agriculture rather than rubber country.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Eastern Cape profile is grain, stock, and coastal mixed farming rather than a humid tropical plantation belt.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Eastern Cape analogues are mixed-farming and grazing systems, not rubber-plantation states.",state_localized,direct,broad_potential_only,1.0,Eastern Cape is a mixed-farming and stock state rather than a localized rubber belt.,rubber-target-capacity-0010,active,,0,,baseline row
Eastern Cape,marginal_suitability_plantation,1936,0.0,0.2,0.0,Latent rubber is audited as potential effective commercial plantation land; representative year is metadata only and not GDP-selected.,"Eastern Cape remains outside the latent-rubber model; the state is mixed-farming, stock, and temperate coastal agriculture rather than rubber country.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Eastern Cape profile is grain, stock, and coastal mixed farming rather than a humid tropical plantation belt.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Eastern Cape analogues are mixed-farming and grazing systems, not rubber-plantation states.",state_localized,direct,broad_potential_only,1.0,Eastern Cape is a mixed-farming and stock state rather than a localized rubber belt.,rubber-target-capacity-0011,active,,0,,baseline row
Eastern Cape,unsuitable_or_noncommercial,1936,0.0,0.0,0.0,Latent rubber is audited as potential effective commercial plantation land; representative year is metadata only and not GDP-selected.,"Eastern Cape remains outside the latent-rubber model; the state is mixed-farming, stock, and temperate coastal agriculture rather than rubber country.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Eastern Cape profile is grain, stock, and coastal mixed farming rather than a humid tropical plantation belt.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Eastern Cape analogues are mixed-farming and grazing systems, not rubber-plantation states.",state_localized,direct,broad_potential_only,1.0,Eastern Cape is a mixed-farming and stock state rather than a localized rubber belt.,rubber-target-capacity-0012,active,,0,,baseline row
