target_state,comparator_geography,benchmark_state_id,rank,representative_year,land_class,raw_area_ha,effective_weight,effective_area_ha,benchmark_vanilla_arable_cap,year_selection_reason,capacity_note,citation_1_title,citation_1_url,citation_1_locator,citation_2_title,citation_2_url,citation_2_locator
Cape Colony,South Australia,STATE_SOUTH_AUSTRALIA,1,1936,irrigated_perennial,152086.95652173914,1.25,190108.69565217392,30.0,Comparator land capacity is benchmarked as broad potential effective hectares per vanilla arable cap rather than GDP-selected crop output.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Cape Colony comparator ranking row 1: Closest full-package match: Mediterranean south coast, wine districts, wheat–sheep belt, orchard valleys, and a strong coastal-to-inland gradient.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets."
Cape Colony,South Australia,STATE_SOUTH_AUSTRALIA,1,1936,reliable_rainfed_crop,656739.1304347826,1.0,656739.1304347826,30.0,Comparator land capacity is benchmarked as broad potential effective hectares per vanilla arable cap rather than GDP-selected crop output.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Cape Colony comparator ranking row 1: Closest full-package match: Mediterranean south coast, wine districts, wheat–sheep belt, orchard valleys, and a strong coastal-to-inland gradient.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets."
Cape Colony,South Australia,STATE_SOUTH_AUSTRALIA,1,1936,mixed_farming,760434.7826086957,0.7,532304.3478260869,30.0,Comparator land capacity is benchmarked as broad potential effective hectares per vanilla arable cap rather than GDP-selected crop output.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Cape Colony comparator ranking row 1: Closest full-package match: Mediterranean south coast, wine districts, wheat–sheep belt, orchard valleys, and a strong coastal-to-inland gradient.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets."
Cape Colony,South Australia,STATE_SOUTH_AUSTRALIA,1,1936,commercial_pasture,483913.0434782608,0.35,169369.56521739127,30.0,Comparator land capacity is benchmarked as broad potential effective hectares per vanilla arable cap rather than GDP-selected crop output.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Cape Colony comparator ranking row 1: Closest full-package match: Mediterranean south coast, wine districts, wheat–sheep belt, orchard valleys, and a strong coastal-to-inland gradient.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets."
Cape Colony,South Australia,STATE_SOUTH_AUSTRALIA,1,1936,marginal_grazing,414782.60869565216,0.1,41478.260869565216,30.0,Comparator land capacity is benchmarked as broad potential effective hectares per vanilla arable cap rather than GDP-selected crop output.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Cape Colony comparator ranking row 1: Closest full-package match: Mediterranean south coast, wine districts, wheat–sheep belt, orchard valleys, and a strong coastal-to-inland gradient.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets."
Cape Colony,South Australia,STATE_SOUTH_AUSTRALIA,1,1936,desert_or_unusable,0.0,0.0,0.0,30.0,Comparator land capacity is benchmarked as broad potential effective hectares per vanilla arable cap rather than GDP-selected crop output.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Cape Colony comparator ranking row 1: Closest full-package match: Mediterranean south coast, wine districts, wheat–sheep belt, orchard valleys, and a strong coastal-to-inland gradient.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets."
Cape Colony,Maule Region,STATE_SANTIAGO,2,1936,irrigated_perennial,253478.26086956525,1.25,316847.82608695654,50.0,Comparator land capacity is benchmarked as broad potential effective hectares per vanilla arable cap rather than GDP-selected crop output.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Cape Colony comparator ranking row 2: Mediterranean valley-and-coast agriculture with wine, fruit, cereals, and sheep; somewhat cooler and more summer-rainfall influenced in parts.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets."
Cape Colony,Maule Region,STATE_SANTIAGO,2,1936,reliable_rainfed_crop,1094565.2173913044,1.0,1094565.2173913044,50.0,Comparator land capacity is benchmarked as broad potential effective hectares per vanilla arable cap rather than GDP-selected crop output.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Cape Colony comparator ranking row 2: Mediterranean valley-and-coast agriculture with wine, fruit, cereals, and sheep; somewhat cooler and more summer-rainfall influenced in parts.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets."
Cape Colony,Maule Region,STATE_SANTIAGO,2,1936,mixed_farming,1267391.3043478262,0.7,887173.9130434783,50.0,Comparator land capacity is benchmarked as broad potential effective hectares per vanilla arable cap rather than GDP-selected crop output.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Cape Colony comparator ranking row 2: Mediterranean valley-and-coast agriculture with wine, fruit, cereals, and sheep; somewhat cooler and more summer-rainfall influenced in parts.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets."
Cape Colony,Maule Region,STATE_SANTIAGO,2,1936,commercial_pasture,806521.7391304346,0.35,282282.6086956521,50.0,Comparator land capacity is benchmarked as broad potential effective hectares per vanilla arable cap rather than GDP-selected crop output.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Cape Colony comparator ranking row 2: Mediterranean valley-and-coast agriculture with wine, fruit, cereals, and sheep; somewhat cooler and more summer-rainfall influenced in parts.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets."
