comparator_geography,benchmark_state_id,representative_year,land_class,raw_area_ha,effective_weight,effective_area_ha,benchmark_vanilla_rubber_cap,year_selection_reason,capacity_note,citation_1_title,citation_1_url,citation_1_locator,citation_2_title,citation_2_url,citation_2_locator
Mozambique,STATE_MOCAMBIQUE,1936,high_suitability_plantation,225000.0,1.0,225000.0,30.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_MOCAMBIQUE latent rubber cap = 30 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Mozambique,STATE_MOCAMBIQUE,1936,moderate_suitability_plantation,112500.0,0.6,67500.0,30.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_MOCAMBIQUE latent rubber cap = 30 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Mozambique,STATE_MOCAMBIQUE,1936,marginal_suitability_plantation,37500.0,0.2,7500.0,30.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_MOCAMBIQUE latent rubber cap = 30 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Mozambique,STATE_MOCAMBIQUE,1936,unsuitable_or_noncommercial,0.0,0.0,0.0,30.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_MOCAMBIQUE latent rubber cap = 30 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Zambezi,STATE_ZAMBEZI,1936,high_suitability_plantation,68965.5172413793,1.0,68965.5172413793,16.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plateau_fringe` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_ZAMBEZI latent rubber cap = 16 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plateau_fringe` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Zambezi,STATE_ZAMBEZI,1936,moderate_suitability_plantation,124137.93103448275,0.6,74482.75862068965,16.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plateau_fringe` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_ZAMBEZI latent rubber cap = 16 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plateau_fringe` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Zambezi,STATE_ZAMBEZI,1936,marginal_suitability_plantation,82758.62068965516,0.2,16551.724137931033,16.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plateau_fringe` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_ZAMBEZI latent rubber cap = 16 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plateau_fringe` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Zambezi,STATE_ZAMBEZI,1936,unsuitable_or_noncommercial,0.0,0.0,0.0,16.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plateau_fringe` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_ZAMBEZI latent rubber cap = 16 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plateau_fringe` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Tanganyika,STATE_TANGANYIKA,1936,high_suitability_plantation,164705.88235294117,1.0,164705.88235294117,28.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `mixed_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_TANGANYIKA latent rubber cap = 28 in the shipped vanilla state file.,Comparator profile rationale,,Profile `mixed_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Tanganyika,STATE_TANGANYIKA,1936,moderate_suitability_plantation,164705.88235294117,0.6,98823.5294117647,28.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `mixed_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_TANGANYIKA latent rubber cap = 28 in the shipped vanilla state file.,Comparator profile rationale,,Profile `mixed_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Tanganyika,STATE_TANGANYIKA,1936,marginal_suitability_plantation,82352.94117647059,0.2,16470.58823529412,28.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `mixed_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_TANGANYIKA latent rubber cap = 28 in the shipped vanilla state file.,Comparator profile rationale,,Profile `mixed_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Tanganyika,STATE_TANGANYIKA,1936,unsuitable_or_noncommercial,0.0,0.0,0.0,28.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `mixed_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_TANGANYIKA latent rubber cap = 28 in the shipped vanilla state file.,Comparator profile rationale,,Profile `mixed_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Uganda,STATE_UGANDA,1936,high_suitability_plantation,164705.88235294117,1.0,164705.88235294117,28.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `mixed_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_UGANDA latent rubber cap = 28 in the shipped vanilla state file.,Comparator profile rationale,,Profile `mixed_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Uganda,STATE_UGANDA,1936,moderate_suitability_plantation,164705.88235294117,0.6,98823.5294117647,28.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `mixed_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_UGANDA latent rubber cap = 28 in the shipped vanilla state file.,Comparator profile rationale,,Profile `mixed_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Uganda,STATE_UGANDA,1936,marginal_suitability_plantation,82352.94117647059,0.2,16470.58823529412,28.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `mixed_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_UGANDA latent rubber cap = 28 in the shipped vanilla state file.,Comparator profile rationale,,Profile `mixed_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Uganda,STATE_UGANDA,1936,unsuitable_or_noncommercial,0.0,0.0,0.0,28.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `mixed_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_UGANDA latent rubber cap = 28 in the shipped vanilla state file.,Comparator profile rationale,,Profile `mixed_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Kenya,STATE_KENYA,1936,high_suitability_plantation,102857.14285714286,1.0,102857.14285714286,16.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `coastal_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_KENYA latent rubber cap = 16 in the shipped vanilla state file.,Comparator profile rationale,,Profile `coastal_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Kenya,STATE_KENYA,1936,moderate_suitability_plantation,79999.99999999999,0.6,47999.99999999999,16.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `coastal_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_KENYA latent rubber cap = 16 in the shipped vanilla state file.,Comparator profile rationale,,Profile `coastal_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Kenya,STATE_KENYA,1936,marginal_suitability_plantation,45714.28571428571,0.2,9142.857142857143,16.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `coastal_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_KENYA latent rubber cap = 16 in the shipped vanilla state file.,Comparator profile rationale,,Profile `coastal_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Kenya,STATE_KENYA,1936,unsuitable_or_noncommercial,0.0,0.0,0.0,16.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `coastal_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_KENYA latent rubber cap = 16 in the shipped vanilla state file.,Comparator profile rationale,,Profile `coastal_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Zanzibar,STATE_ZANZIBAR,1936,high_suitability_plantation,102857.14285714286,1.0,102857.14285714286,16.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `coastal_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_ZANZIBAR latent rubber cap = 16 in the shipped vanilla state file.,Comparator profile rationale,,Profile `coastal_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Zanzibar,STATE_ZANZIBAR,1936,moderate_suitability_plantation,79999.99999999999,0.6,47999.99999999999,16.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `coastal_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_ZANZIBAR latent rubber cap = 16 in the shipped vanilla state file.,Comparator profile rationale,,Profile `coastal_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Zanzibar,STATE_ZANZIBAR,1936,marginal_suitability_plantation,45714.28571428571,0.2,9142.857142857143,16.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `coastal_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_ZANZIBAR latent rubber cap = 16 in the shipped vanilla state file.,Comparator profile rationale,,Profile `coastal_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
Zanzibar,STATE_ZANZIBAR,1936,unsuitable_or_noncommercial,0.0,0.0,0.0,16.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `coastal_tropical` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_ZANZIBAR latent rubber cap = 16 in the shipped vanilla state file.,Comparator profile rationale,,Profile `coastal_tropical` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
South Cameroon,STATE_SOUTH_CAMEROON,1936,high_suitability_plantation,180000.0,1.0,180000.0,24.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_SOUTH_CAMEROON latent rubber cap = 24 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
South Cameroon,STATE_SOUTH_CAMEROON,1936,moderate_suitability_plantation,90000.0,0.6,54000.0,24.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_SOUTH_CAMEROON latent rubber cap = 24 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
South Cameroon,STATE_SOUTH_CAMEROON,1936,marginal_suitability_plantation,30000.0,0.2,6000.0,24.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_SOUTH_CAMEROON latent rubber cap = 24 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
South Cameroon,STATE_SOUTH_CAMEROON,1936,unsuitable_or_noncommercial,0.0,0.0,0.0,24.0,Rubber comparator capacity is benchmarked as potential effective commercial plantation land rather than GDP-selected realized latex output.,Vanilla latent-rubber benchmark state seeded with the `plantation_core` tropical plantation profile; effective hectares per cap are held on the v3 latent-rubber denominator.,Victoria 3 vanilla state_regions rubber benchmark,,STATE_SOUTH_CAMEROON latent rubber cap = 24 in the shipped vanilla state file.,Comparator profile rationale,,Profile `plantation_core` distributes effective rubber hectares across high/moderate/marginal plantation suitability rather than treating vanilla cap as direct estate area.
