state,resource,resource_family,status,final_audited_cap,earliest_commercial_activity_year,flagship_scale_year,representative_max_year,representative_max_output,year_selection_reason,counterevidence_status,counterevidence_note,plausibility_1936_status,observed_output_x_reason,y_basis,y_reason,y_counterevidence_trigger,y_quantification_method,z_reason,audit_class,gdp_geography_used,gdp_geography_level,gdp_anchor_year,gdp_value_at_anchor_year,selection_mode,gdp_distance_ratio,selection_note,family_normalising_constant,family_constant_purpose,adjustment_key,exception_status,problem_type,adjustment_reason,citation_1_title,citation_1_url,citation_1_locator,citation_2_title,citation_2_url,citation_2_locator
Cape Colony,Arable Land,Arable Land,formula-driven,44,,,1936,2420000.0,Arable land capacity is audited as broad plausible 1936 commercial potential rather than GDP-selected realized output.,supports,Land-capacity model replaces the old output-gap reconstruction for arable rows.,pass,Observed x is direct effective commercial agricultural hectares from audited land-class rows.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,direct,,,,,,,Arable land is audited from direct effective commercial agricultural hectares rather than GDP-selected crop output.,,,,,,Land-capacity model uses direct effective commercial hectares; legacy output-gap uplift is retired.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Cape Colony section; wheat, wine, livestock, and tobacco suitability notes.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Cape Colony comparator basket and weighted agricultural matches.
Cape Colony,Coal Mine,Coal Mine,constrained zero,0,,,none,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Coal remains disabled in Cape Colony.,constrained_zero,No direct target observation is currently frozen for this row.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,direct,South Africa,national,2008,10977.146797,gdp_match,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,cape-colony::coal-mine,,,,,,,,,
Cape Colony,Fishing,Fishing,quantified adjustment,15,,,2022,44606.17731703577,Selected candidate year 2022 because its GDP per capita is closest to the GBR 1940 reference anchor.,not_reviewed,No linked counterevidence case in the frozen research registry.,pass,Western Cape fishing target rebuilt around the long-run small-pelagic fishery rather than the earlier undercounted south-coast hake-only proxy.,direct_target_gap,Quantified target-side addition for the western pelagic complex: the raw target uses a long-run small-pelagic average but omits the historical horse-mackerel component discussed in the cited fishery history.,Reclassified the Cape fishing uplift as target-side rather than comparator-driven because the omitted horse-mackerel component is evidenced directly in the western pelagic history.,Strict audit pass: classified the Cape fishing uplift as a direct missing fishery component.,No downward plausibility haircut.,direct_plus_gapfill,South Africa,national,2008,10977.146797,gdp_match,0.04464557970351388,Selected candidate year 2022 because its GDP per capita is closest to the GBR 1940 reference anchor.,,,cape-colony::fishing,,undercounting,Reclassified the Cape fishing uplift as target-side rather than comparator-driven because the omitted horse-mackerel component is evidenced directly in the western pelagic history.,Status of the South African marine fishery resources 2025,https://www.dffe.gov.za/sites/default/files/reports/research/fisheries/statusofsouthafrican_marinefisheryresources2025.pdf,"Small pelagic history section: annual sardine catches stayed below 200,000 t in the early postwar period while horse-mackerel later peaked around 120,000 t.",Status of the South African Marine Fishery Resources 2023,https://www.dffe.gov.za/sites/default/files/reports/research/fisheries/statusofsouthafrican_marinefisheryresources2023.pdf,"Small pelagic section, Figure 62 discussion: the long-term average annual combined catch of anchovy, sardine, and round herring is about 333,000 t."
Cape Colony,Gold Mine,Gold Mine,explicit exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a standalone gold-mine slot here; any gold-family logic for this state stays out of the capped row until direct target evidence is frozen.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,South Africa,national,2008,10977.146797,gdp_match,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,cape-colony::gold-mine,manual_zero_exception,counterfactual checked and rejected,Kept the gold-mine slot at zero because there is no frozen target observation for a commercial gold-mine row in this state and the proposal registry does not defend one for the 1836-1936 horizon.,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Cape Colony / Gold Mine row in the proposal registry.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Use alongside the proposal registry for state-level mining plausibility checks.
Cape Colony,Iron Mine,Iron Mine,explicit exception,0,,,none,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,constrains,Explicit exception row.,review_required,No direct target observation is currently frozen for this row.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,South Africa,national,2008,10977.146797,gdp_match,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,cape-colony::iron-mine,manual_zero_exception,,,,,,,,
Cape Colony,Lead Mine,Lead Mine,explicit exception,0,,,none,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,constrains,Explicit exception row.,review_required,No direct target observation is currently frozen for this row.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,South Africa,national,2008,10977.146797,gdp_match,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,cape-colony::lead-mine,manual_zero_exception,,,,,,,,
Cape Colony,Sulfur Mine,Sulfur Mine,explicit exception,0,,,none,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,constrains,Explicit exception row.,review_required,No direct target observation is currently frozen for this row.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,South Africa,national,2008,10977.146797,gdp_match,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,cape-colony::sulfur-mine,manual_zero_exception,,,,,,,,
Cape Colony,Whaling,Whaling,explicit exception,4,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,"Proposal registry and family research both support keeping a small whaling slot here, but not escalating it beyond the current cap.",pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,South Africa,national,2008,10977.146797,gdp_match,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,cape-colony::whaling,qualitative_slot_exception,manual family after searched evidence,"Retained a small whaling slot as an explicit exception because the frozen package still lacks a reproducible quantitative whaling anchor, but the reviewed coastal literature supports a real commercial whaling presence in this state footprint.",resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Cape Colony / Whaling row in the proposal registry.,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Whaling section: keep the family on the Atlantic and Cape side, not as a generic slot for the whole coast or inland states."
Cape Colony,Wood,Wood,formula-driven,4,,,1936,103062.5,Representative year is audited metadata only for the forestry-capacity model; wood no longer uses GDP-selected plantation-estate rows.,supports,Managed forestry is modest but real in the Cape footprint.,pass,Wood now uses direct effective commercial forestry hectares from audited wood land-class rows rather than observed plantation-estate area.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,direct,,,,,,,Wood is audited from direct effective commercial forestry hectares rather than GDP-selected plantation-estate observations.,,,,,,Potential-forestry model replaces observed plantation estate area with direct effective commercial forestry hectares.,Trade & Industrial Policy Strategies: South Africa’s Forestry Value Chain,https://www.tips.org.za/policy-briefs/item/download/1951_b81dc50ab22218561eec628aa634d782,"Western Cape afforested area = 43,146 ha in 2017.",cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,Timber was scarce but not absent in the Cape footprint; exploitable forests and sawmills were real.
Cape Colony,Gold Fields (discovered),Gold Fields,explicit exception,0,,,none,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,constrains,Explicit exception row.,review_required,No direct target observation is currently frozen for this row.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,South Africa,national,2008,10977.146797,gdp_match,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,cape-colony::gold-fields-discovered,manual_zero_exception,,,,,,,,
