sheet_key,official_state,entity,geography,short_geography,resource,resource_family,observation_family,year,raw_quantity,raw_unit,standardized_quantity,standardized_unit,sector,growth_family,index_to_1940,conversion_key,conversion_factor,normalized_1940_output,wheat_equivalent_1940_output,discounted_normalized_1940_output,discounted_wheat_equivalent_1940_output,drives_x,review_action,corroboration_count,evidence_scope,target_match_status,slot_support_status,localization_discount,validation_note,source_title,source_url,locator,note
W_Cape,Cape Colony,Cape Colony,"W. Cape target
STATE_CAPE_COLONY
Vanilla name: Cape Colony",W. Cape target,Wheat Farm,Wheat Farm,historical,1825,4316.933,t output,4316.933,t output,Land Economy,Land Economy,20.891631275822938,grain_t,1.0,90187.77247843215,90187.77247843215,90187.77247843215,90187.77247843215,yes,accepted_direct,16,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.,Wheat productivity in the Cape Colony in 1825: evidence from newly transcribed tax censuses,https://ageconsearch.umn.edu/record/348187/files/Wheat%20productivity%20in%20the%20Cape%20Colony%20in%201825%20%20evidence%20from%20newly%20transcribed%20tax%20censuses.pdf,"The harvest of 1825 was exceptional. During that year, 4 316 933 kg ... of wheat was brought to Cape Town.",Early Cape wheat anchor converted from kilograms to metric tons.
E_Cape,Eastern Cape,Eastern Cape,E. Cape target,E. Cape target,Wheat Farm,Wheat Farm,historical,1825,1938.217,t output,1938.217,t output,Land Economy,Land Economy,20.891631275822938,grain_t,1.0,40492.51489653171,40492.51489653171,40492.51489653171,40492.51489653171,yes,accepted_direct,6,state_localized,direct,distinct_slot_supported,1.0,Eastern Cape target observations are treated as state-localized evidence.,Wheat productivity in the Cape Colony in 1825: evidence from newly transcribed tax censuses,https://ageconsearch.umn.edu/record/348187/files/Wheat%20productivity%20in%20the%20Cape%20Colony%20in%201825%20%20evidence%20from%20newly%20transcribed%20tax%20censuses.pdf,"Table 2 district totals: Albany = 35,009 kg; Beaufort = 170,641 kg; Cradock = 633,924 kg; Graaff-Reinet = 623,480 kg; Uitenhage = 475,163 kg; summed eastern-district proxy = 1,938,217 kg.",Eastern Cape wheat proxy built from the eastern and eastern-Karoo districts reported separately in the 1825 Cape tax-census study.
E_Cape,Eastern Cape,Eastern Cape,E. Cape target,E. Cape target,Coal Mine,Coal Mine,historical,1890,0.0,t output,0.0,t output,Mining,Coal Mine,0.010735670720322398,,,0.0,,0.0,,yes,accepted_direct,3,state_localized,direct,distinct_slot_supported,1.0,Eastern Cape target observations are treated as state-localized evidence.,South Africa's Coalfields – A 2014 Perspective,https://pure.port.ac.uk/ws/portalfiles/portal/7408362/South_Africa_s_coalfields.pdf,Molteno Coalfield section: full-scale commercial mining at Indwe only began in 1895.,Pre-commercial zero anchor for the Eastern Cape coal row at the 1890 milestone.
E_Cape,Eastern Cape,Eastern Cape,E. Cape target,E. Cape target,Coal Mine,Coal Mine,historical,1902,175000.0,t output,175000.0,t output,Mining,Coal Mine,0.04226166115779816,,,7395.790702614679,,7395.790702614679,,yes,accepted_direct,3,state_localized,direct,distinct_slot_supported,1.0,Eastern Cape target observations are treated as state-localized evidence.,South Africa's Coalfields – A 2014 Perspective,https://pure.port.ac.uk/ws/portalfiles/portal/7408362/South_Africa_s_coalfields.pdf,"Molteno/Indwe section: production peaked at about 175,000 tpa between 1900 and 1904",Historical coal anchor for the Eastern Cape row.
E_Cape,Eastern Cape,Eastern Cape,E. Cape target,E. Cape target,Coal Mine,Coal Mine,historical,1917,7500.0,t output,7500.0,t output,Mining,Coal Mine,0.2343383080949387,,,1757.5373107120402,,1757.5373107120402,,yes,accepted_direct,3,state_localized,direct,distinct_slot_supported,1.0,Eastern Cape target observations are treated as state-localized evidence.,South Africa's Coalfields – A 2014 Perspective,https://pure.port.ac.uk/ws/portalfiles/portal/7408362/South_Africa_s_coalfields.pdf,"Molteno Coalfield section: by 1917 production had fallen to only 7,500 tpa.",Late-historical decline anchor for the Eastern Cape coal row.
Gauteng,West Transvaal,West Transvaal,Gauteng target,Gauteng target,Gold Fields (discovered),Gold Fields,historical,1913,262069.0621,kg output / proxy,262.0690621,t output,Mining,Gold Fields,1.6285454136612212,,,426.79136914545273,,405.45180068818007,,yes,accepted_with_bounded_fallback,7,regional_proxy,partial_overlap,distinct_slot_supported,0.95,West Transvaal target observations rely on a bounded Gauteng/interior plateau proxy rather than a perfect state-only series.,"Survey of Current Business, December 1937, Table 48",https://apps.bea.gov/scb/issues/1937/scb-1937-december.pdf,"Table 48, Witwatersrand (Rand), total 1913 = 8,425,716 fine ounces.",Witwatersrand annual output converted to kilograms for the Gauteng goldfields row at 31.1034768 g/fine ounce.
Gauteng,West Transvaal,West Transvaal,Gauteng target,Gauteng target,Gold Fields (discovered),Gold Fields,historical,1920,246672.3124,kg output / proxy,246.67231239999998,t output,Mining,Gold Fields,1.7691104828678634,,,436.3905737000964,,414.57104501509156,,yes,accepted_with_bounded_fallback,7,regional_proxy,partial_overlap,distinct_slot_supported,0.95,West Transvaal target observations rely on a bounded Gauteng/interior plateau proxy rather than a perfect state-only series.,"Survey of Current Business, December 1937, Table 48",https://apps.bea.gov/scb/issues/1937/scb-1937-december.pdf,"Table 48, Witwatersrand (Rand), total 1920 = 7,930,699 fine ounces.",Witwatersrand annual output converted to kilograms for the Gauteng goldfields row at 31.1034768 g/fine ounce.
Gauteng,West Transvaal,West Transvaal,Gauteng target,Gauteng target,Gold Fields (discovered),Gold Fields,historical,1930,318531.328,kg output / proxy,318.531328,t output,Mining,Gold Fields,1.3678863829255823,,,435.7146661064022,,413.92893280108206,,yes,accepted_with_bounded_fallback,7,regional_proxy,partial_overlap,distinct_slot_supported,0.95,West Transvaal target observations rely on a bounded Gauteng/interior plateau proxy rather than a perfect state-only series.,"Survey of Current Business, December 1937, Table 48",https://apps.bea.gov/scb/issues/1937/scb-1937-december.pdf,"Table 48, Witwatersrand (Rand), total 1930 = 10,241,020 fine ounces.",Witwatersrand annual output converted to kilograms for the Gauteng goldfields row at 31.1034768 g/fine ounce.
Gauteng,West Transvaal,West Transvaal,Gauteng target,Gauteng target,Gold Fields (discovered),Gold Fields,historical,1936,327091.4713,kg output / proxy,327.09147129999997,t output,Mining,Gold Fields,0.8585232853797198,,,280.8156445601623,,266.77486233215416,,yes,accepted_with_bounded_fallback,7,regional_proxy,partial_overlap,distinct_slot_supported,0.95,West Transvaal target observations rely on a bounded Gauteng/interior plateau proxy rather than a perfect state-only series.,"Survey of Current Business, December 1937, Table 48",https://apps.bea.gov/scb/issues/1937/scb-1937-december.pdf,"Table 48, Witwatersrand (Rand), total 1936 = 10,516,235 fine ounces.",Witwatersrand annual output converted to kilograms for the Gauteng goldfields row at 31.1034768 g/fine ounce.
Botswana,Botswana,Botswana,Botswana target,Botswana target,Coal Mine,Coal Mine,historical,1936,0.0,t output,0.0,t output,Mining,Coal Mine,1.012232418171412,,,0.0,,0.0,,yes,accepted_direct,2,state_localized,direct,distinct_slot_supported,1.0,Botswana target observations are treated as state-localized evidence.,Coal Deposits,https://www.geologicalsociety.org.zw/sites/default/files/news-attachments/Coal%20Deposits%20Lesley%20Jeffrey%20Nov21%20GSZ.pdf,Spotlight on Botswana: 1973 – Morupule (AAC),Zero-output historical anchor for 1936 because the cited Botswana coal mine opens after the historical window.
