state,review_status,largest_remaining_issue,summary_note
Cape Colony,accepted,No major model blocker remains; only minor wording polish is still open.,Accepted on pass 1; 6 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Northern Cape,accepted,Gameplay distinctiveness now sits outside the cap provenance pass.,Accepted on pass 2; 10 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Eastern Cape,accepted,No major model blocker remains; only minor wording polish is still open.,Accepted on pass 3; 8 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
West Transvaal,accepted,Compensation is assigned to a future state modifier in sb_modifiers.txt routed through sb_on_actions.txt.,Accepted on pass 4; 11 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Eastern Transvaal,accepted,Comparator and docs polish remain.,Accepted on pass 5; 9 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Northern Transvaal,accepted,Gameplay distinctiveness now sits outside the cap provenance pass.,Accepted on pass 6; 11 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Transorangia,accepted,No major model blocker remains; only minor wording polish is still open.,Accepted on pass 7; 13 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Zululand,accepted,Restored split-state audit lane; KwaZulu-Natal evidence must now be reviewed on its own sheet.,Accepted on pass 8; 6 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Drakensberg,accepted,Compensation is assigned to BST frontier journal flavour in 1-07_sb_bst_frontier.txt.,Accepted on pass 9; 10 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Botswana,accepted,Compensation is assigned to a future ranching-quality state modifier in sb_modifiers.txt.,Accepted on pass 10; 5 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Lourenço Marques,accepted,Port-littoral identity remains better expressed outside caps.,Accepted on pass 11; 10 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Zambezi,accepted,Estate-quality flavor remains better expressed outside caps.,Accepted on pass 12; 11 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Hereroland,accepted,Enclave-mining flavor remains better expressed outside caps.,Accepted on pass 13; 9 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
Namaqualand,accepted,No major model blocker remains; only minor wording polish is still open.,Accepted on pass 14 after lead repair; 7 of 30 public rows differ from the vanilla baseline. Final live sync applied after all state passes were accepted.
