state,vanilla_total,current_live_total,final_audited_total,delta_vs_vanilla,delta_vs_live,formula_rows,adjusted_rows,exception_rows
Botswana,93,10,10,-83,0,1,1,13
Cape Colony,72,62,67,-5,5,2,1,12
Drakensberg,128,12,12,-116,0,1,0,14
Eastern Cape,133,59,59,-74,0,3,1,11
Eastern Transvaal,231,158,162,-69,4,3,1,11
Hereroland,88,32,32,-56,0,2,0,13
Lourenço Marques,153,67,67,-86,0,2,0,13
Namaqualand,73,6,6,-67,0,2,1,12
Northern Cape,84,17,61,-23,44,1,2,12
Northern Transvaal,231,34,34,-197,0,4,0,11
Transorangia,153,36,39,-114,3,3,0,12
West Transvaal,231,24,117,-114,93,3,0,12
Zambezi,141,74,74,-67,0,3,3,9
Zululand,101,43,43,-58,0,3,2,10
