sheet,geography,resource,year,normalized_quantity,normalized_unit,source_title,source_url,citation_locator,note,evidence_scope,target_match_status,slot_support_status,localization_discount,validation_note
W_Cape,"W. Cape target
STATE_CAPE_COLONY
Vanilla name: Cape Colony",Wheat Farm,1825,4316.933,t output,Wheat productivity in the Cape Colony in 1825: evidence from newly transcribed tax censuses,https://ageconsearch.umn.edu/record/348187/files/Wheat%20productivity%20in%20the%20Cape%20Colony%20in%201825%20%20evidence%20from%20newly%20transcribed%20tax%20censuses.pdf,"The harvest of 1825 was exceptional. During that year, 4 316 933 kg ... of wheat was brought to Cape Town.",Early Cape wheat anchor converted from kilograms to metric tons.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.
W_Cape,"California Central Coast
STATE_CALIFORNIA
Vanilla name: California",Vineyard,1929,1607563.0,t output,"Sixteenth Census of the United States: 1940. Agriculture, First Series, State Reports: California",https://www2.census.gov/library/publications/decennial/1940/agriculture/1940-census-agriculture-vol-1-california.pdf,"Fruit crops table, Grapes, quantity harvested, tons: 1929 = 1,607,563.",Historical grape-harvest anchor for the California comparator row.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.
W_Cape,"California Central Coast
STATE_CALIFORNIA
Vanilla name: California",Vineyard,1939,2007840.0,t output,"Sixteenth Census of the United States: 1940. Agriculture, First Series, State Reports: California",https://www2.census.gov/library/publications/decennial/1940/agriculture/1940-census-agriculture-vol-1-california.pdf,"Fruit crops table, Grapes, quantity harvested, tons: 1939 = 2,007,840.",Historical grape-harvest anchor for the California comparator row.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.
W_Cape,"California Central Coast
STATE_CALIFORNIA
Vanilla name: California",Cotton Plantation,1929,90805.0,bales lint cotton,"Sixteenth Census of the United States: 1940. Agriculture, First Series, State Reports: California",https://www2.census.gov/library/publications/decennial/1940/agriculture/1940-census-agriculture-vol-1-california.pdf,"State table, Cotton, bales (square): 1929 = 90,805.",Historical California cotton anchor for the Western Cape comparator row.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.
W_Cape,"California Central Coast
STATE_CALIFORNIA
Vanilla name: California",Cotton Plantation,1934,86698.0,bales lint cotton,"Sixteenth Census of the United States: 1940. Agriculture, First Series, State Reports: California",https://www2.census.gov/library/publications/decennial/1940/agriculture/1940-census-agriculture-vol-1-california.pdf,"State table, Cotton, bales (square): 1934 = 86,698.",Historical California cotton anchor for the Western Cape comparator row.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.
W_Cape,"California Central Coast
STATE_CALIFORNIA
Vanilla name: California",Cotton Plantation,1939,100138.0,bales lint cotton,"Sixteenth Census of the United States: 1940. Agriculture, First Series, State Reports: California",https://www2.census.gov/library/publications/decennial/1940/agriculture/1940-census-agriculture-vol-1-california.pdf,"State table, Cotton, bales (square): 1939 = 100,138.",Historical California cotton anchor for the Western Cape comparator row.,state_localized,direct,distinct_slot_supported,1.0,Western Cape target observations are treated as state-localized evidence.
E_Cape,E. Cape target,Wheat Farm,1825,1938.217,t output,Wheat productivity in the Cape Colony in 1825: evidence from newly transcribed tax censuses,https://ageconsearch.umn.edu/record/348187/files/Wheat%20productivity%20in%20the%20Cape%20Colony%20in%201825%20%20evidence%20from%20newly%20transcribed%20tax%20censuses.pdf,"Table 2 district totals: Albany = 35,009 kg; Beaufort = 170,641 kg; Cradock = 633,924 kg; Graaff-Reinet = 623,480 kg; Uitenhage = 475,163 kg; summed eastern-district proxy = 1,938,217 kg.",Eastern Cape wheat proxy built from the eastern and eastern-Karoo districts reported separately in the 1825 Cape tax-census study.,state_localized,direct,distinct_slot_supported,1.0,Eastern Cape target observations are treated as state-localized evidence.
E_Cape,E. Cape target,Coal Mine,1890,0.0,t output,South Africa's Coalfields – A 2014 Perspective,https://pure.port.ac.uk/ws/portalfiles/portal/7408362/South_Africa_s_coalfields.pdf,Molteno Coalfield section: full-scale commercial mining at Indwe only began in 1895.,Pre-commercial zero anchor for the Eastern Cape coal row at the 1890 milestone.,state_localized,direct,distinct_slot_supported,1.0,Eastern Cape target observations are treated as state-localized evidence.
E_Cape,E. Cape target,Coal Mine,1902,175000.0,t output,South Africa's Coalfields – A 2014 Perspective,https://pure.port.ac.uk/ws/portalfiles/portal/7408362/South_Africa_s_coalfields.pdf,"Molteno/Indwe section: production peaked at about 175,000 tpa between 1900 and 1904",Historical coal anchor for the Eastern Cape row.,state_localized,direct,distinct_slot_supported,1.0,Eastern Cape target observations are treated as state-localized evidence.
E_Cape,E. Cape target,Coal Mine,1917,7500.0,t output,South Africa's Coalfields – A 2014 Perspective,https://pure.port.ac.uk/ws/portalfiles/portal/7408362/South_Africa_s_coalfields.pdf,"Molteno Coalfield section: by 1917 production had fallen to only 7,500 tpa.",Late-historical decline anchor for the Eastern Cape coal row.,state_localized,direct,distinct_slot_supported,1.0,Eastern Cape target observations are treated as state-localized evidence.
