target_state,comparator,rank,weight,effective_commercial_hectares,effective_hectares_per_cap,comparator_included_in_denominator,included_reason,capacity_note
Cape Colony,South Australia,1,10,1590000.0,53000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Cape Colony,Maule Region,2,10,2650000.0000000005,53000.00000000001,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Cape Colony,Western Australia,3,10,1590000.0,53000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Cape Colony,O'Higgins Region,4,10,2650000.0000000005,53000.00000000001,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Cape Colony,California,5,10,15900000.000000002,53000.00000000001,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Cape Colony,Valparaíso Region,6,5,2650000.0000000005,53000.00000000001,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Cape Colony,,7,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,8,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,9,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,10,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,11,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,12,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,13,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,14,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,15,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,16,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,17,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,18,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,19,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,20,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Cape,Texas,1,10,28999999.999999996,57999.99999999999,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
