state,resource,row_category,historical_label,counterfactual_label,driving_basis,current_value,proposed_value,decision,issue_type,chronology_note,regional_claim_note,full_state_footprint,primary_district_or_belt,citation_1_title,citation_1_url,citation_1_locator,citation_2_title,citation_2_url,citation_2_locator,state_pass_index,family_rewrite_triggered,notes
Cape Colony,Arable Land,Arable,direct_historical_support,not_needed,historical,50,44,lower,formula-driven,Arable land capacity is audited as broad plausible 1936 commercial potential rather than GDP-selected realized output.,Cape Colony arable capacity rows are treated as state-localized effective commercial land.,Western Cape core plus the small modern Northern Cape coastal strip inside STATE_CAPE_COLONY,"Mediterranean grain-and-vine core, southern coastal timber belt, and the small north-coast strip inside the split footprint",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Cape Colony section; wheat, wine, livestock, and tobacco suitability notes.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Cape Colony comparator basket and weighted agricultural matches.,1,no,Land-capacity model uses direct effective commercial hectares; legacy output-gap uplift is retired. | Arable now uses direct land-capacity x with no legacy output-gap Y or GDP/output smoothing. | Land-capacity model replaces the old output-gap reconstruction for arable rows.
Cape Colony,Wheat Farm,Arable Resource,direct_historical_support,not_needed,unchanged_baseline,yes,yes,keep,researched_and_live,Gameplay crop availability is reviewed against the 1836-1936 state basket rather than a single-year output series.,No broader regional claim is driving the row; the reviewed crop basket is state-specific.,Western Cape core plus the small modern Northern Cape coastal strip inside STATE_CAPE_COLONY,"Mediterranean grain-and-vine core, southern coastal timber belt, and the small north-coast strip inside the split footprint",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",1,no,Wheat Farm is inside the reviewed Cape Colony basket: Western Cape is the region's clearest wheat-and-wine state with a real livestock base; tobacco exists only in pockets.
Cape Colony,Livestock Ranch,Arable Resource,direct_historical_support,not_needed,unchanged_baseline,yes,yes,keep,researched_and_live,Gameplay crop availability is reviewed against the 1836-1936 state basket rather than a single-year output series.,No broader regional claim is driving the row; the reviewed crop basket is state-specific.,Western Cape core plus the small modern Northern Cape coastal strip inside STATE_CAPE_COLONY,"Mediterranean grain-and-vine core, southern coastal timber belt, and the small north-coast strip inside the split footprint",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",1,no,Livestock Ranch is inside the reviewed Cape Colony basket: Western Cape is the region's clearest wheat-and-wine state with a real livestock base; tobacco exists only in pockets.
Cape Colony,Vineyard,Arable Resource,direct_historical_support,not_needed,unchanged_baseline,yes,yes,keep,researched_and_live,Gameplay crop availability is reviewed against the 1836-1936 state basket rather than a single-year output series.,No broader regional claim is driving the row; the reviewed crop basket is state-specific.,Western Cape core plus the small modern Northern Cape coastal strip inside STATE_CAPE_COLONY,"Mediterranean grain-and-vine core, southern coastal timber belt, and the small north-coast strip inside the split footprint",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",1,no,Vineyard is inside the reviewed Cape Colony basket: Western Cape is the region's clearest wheat-and-wine state with a real livestock base; tobacco exists only in pockets.
Cape Colony,Tea Plantation,Arable Resource,no_material_historical_support,rejected_counterfactual,historical,yes,no,flip_yes_no,Counterfactual checked and rejected.,Gameplay crop availability is reviewed against the 1836-1936 state basket rather than a single-year output series.,"Tea remains disabled in Cape Colony because the Western Cape's recorded tea acreage is rooibos, with later commercial expansion tied to modern Cederberg/Overberg herbal-tea production rather than a 1836-1936 tea-plantation belt.",Western Cape core plus the small modern Northern Cape coastal strip inside STATE_CAPE_COLONY,"Mediterranean grain-and-vine core, southern coastal timber belt, and the small north-coast strip inside the split footprint",Western Cape Agricultural Sector Profile: 2022,https://www.westerncape.gov.za/agriculture/files/wcg-blob-files?file=2024-06%2F2022-wc-agric-sector-profile.pdf&type=file,"pp. 17-18, Table 4.2 and summary points: the province's tobacco/teas/hops acreage is concentrated on the West Coast and described through a rooibos-heavy crop mix.",Rooibos Tea: Production in the Overberg,https://www.elsenburg.com/wp-content/uploads/2022/03/2020-Rooibos-Tea-in-the-Overberg.pdf,"pp. 4-5 and 18: rooibos is concentrated in Cederberg, while Overberg commercial expansion only starts around 2010.",1,no,"Tea remains disabled in Cape Colony because the Western Cape's recorded tea acreage is rooibos, with later commercial expansion tied to modern Cederberg/Overberg herbal-tea production rather than a 1836-1936 tea-plantation belt."
Cape Colony,Maize Farm,Arable Resource,no_material_historical_support,not_needed,unchanged_baseline,no,no,keep,excluded,Gameplay crop availability is reviewed against the 1836-1936 state basket rather than a single-year output series.,Broader climatic or neighboring analogies are not treated as local support when the reviewed basket excludes the crop.,Western Cape core plus the small modern Northern Cape coastal strip inside STATE_CAPE_COLONY,"Mediterranean grain-and-vine core, southern coastal timber belt, and the small north-coast strip inside the split footprint",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",1,no,Maize Farm is outside the reviewed Cape Colony basket: Western Cape is not part of the broad eastern cereal or subtropical plantation belts.
Cape Colony,Millet Farm,Arable Resource,no_material_historical_support,not_needed,unchanged_baseline,no,no,keep,excluded,Gameplay crop availability is reviewed against the 1836-1936 state basket rather than a single-year output series.,Broader climatic or neighboring analogies are not treated as local support when the reviewed basket excludes the crop.,Western Cape core plus the small modern Northern Cape coastal strip inside STATE_CAPE_COLONY,"Mediterranean grain-and-vine core, southern coastal timber belt, and the small north-coast strip inside the split footprint",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",1,no,Millet Farm is outside the reviewed Cape Colony basket: Western Cape is not part of the broad eastern cereal or subtropical plantation belts.
Cape Colony,Sugar Plantation,Arable Resource,no_material_historical_support,not_needed,unchanged_baseline,no,no,keep,excluded,Gameplay crop availability is reviewed against the 1836-1936 state basket rather than a single-year output series.,Broader climatic or neighboring analogies are not treated as local support when the reviewed basket excludes the crop.,Western Cape core plus the small modern Northern Cape coastal strip inside STATE_CAPE_COLONY,"Mediterranean grain-and-vine core, southern coastal timber belt, and the small north-coast strip inside the split footprint",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",1,no,Sugar Plantation is outside the reviewed Cape Colony basket: Western Cape is not part of the broad eastern cereal or subtropical plantation belts.
Cape Colony,Tobacco Plantation,Arable Resource,direct_historical_support,not_needed,historical,no,yes,flip_yes_no,researched_and_live,Gameplay crop availability is reviewed against the 1836-1936 state basket rather than a single-year output series.,No broader regional claim is driving the row; the reviewed crop basket is state-specific.,Western Cape core plus the small modern Northern Cape coastal strip inside STATE_CAPE_COLONY,"Mediterranean grain-and-vine core, southern coastal timber belt, and the small north-coast strip inside the split footprint",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",1,no,Tobacco Plantation is inside the reviewed Cape Colony basket: Western Cape is the region's clearest wheat-and-wine state with a real livestock base; tobacco exists only in pockets.
Cape Colony,Banana Plantation,Arable Resource,no_material_historical_support,not_needed,unchanged_baseline,no,no,keep,excluded,Gameplay crop availability is reviewed against the 1836-1936 state basket rather than a single-year output series.,Broader climatic or neighboring analogies are not treated as local support when the reviewed basket excludes the crop.,Western Cape core plus the small modern Northern Cape coastal strip inside STATE_CAPE_COLONY,"Mediterranean grain-and-vine core, southern coastal timber belt, and the small north-coast strip inside the split footprint",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",1,no,Banana Plantation is outside the reviewed Cape Colony basket: Western Cape is not part of the broad eastern cereal or subtropical plantation belts.
Cape Colony,Coffee Plantation,Arable Resource,no_material_historical_support,not_needed,unchanged_baseline,no,no,keep,excluded,Gameplay crop availability is reviewed against the 1836-1936 state basket rather than a single-year output series.,Broader climatic or neighboring analogies are not treated as local support when the reviewed basket excludes the crop.,Western Cape core plus the small modern Northern Cape coastal strip inside STATE_CAPE_COLONY,"Mediterranean grain-and-vine core, southern coastal timber belt, and the small north-coast strip inside the split footprint",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",1,no,Coffee Plantation is outside the reviewed Cape Colony basket: Western Cape is not part of the broad eastern cereal or subtropical plantation belts.
Cape Colony,Cotton Plantation,Arable Resource,no_material_historical_support,rejected_counterfactual,historical,yes,no,flip_yes_no,Counterfactual checked and rejected.,Gameplay crop availability is reviewed against the 1836-1936 state basket rather than a single-year output series.,Cotton remains disabled in Cape Colony.,Western Cape core plus the small modern Northern Cape coastal strip inside STATE_CAPE_COLONY,"Mediterranean grain-and-vine core, southern coastal timber belt, and the small north-coast strip inside the split footprint",1911 Encyclopædia Britannica/Cape Colony,https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Cape_Colony,"Agricultural sections emphasize wheat, wine, fruit, and wool; no western Cape cotton sector is described.","Sixteenth Census of the United States: 1940. Agriculture, First Series, State Reports: California",https://www2.census.gov/library/publications/decennial/1940/agriculture/1940-census-agriculture-vol-1-california.pdf,California proves Mediterranean climates can grow irrigated cotton; the absence of a comparable Cape cotton series means climate alone is not enough to justify the row.,1,no,Cotton remains disabled in Cape Colony.
Cape Colony,Rice Farm,Arable Resource,no_material_historical_support,not_needed,unchanged_baseline,no,no,keep,excluded,Gameplay crop availability is reviewed against the 1836-1936 state basket rather than a single-year output series.,Broader climatic or neighboring analogies are not treated as local support when the reviewed basket excludes the crop.,Western Cape core plus the small modern Northern Cape coastal strip inside STATE_CAPE_COLONY,"Mediterranean grain-and-vine core, southern coastal timber belt, and the small north-coast strip inside the split footprint",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",1,no,Rice Farm is outside the reviewed Cape Colony basket: Western Cape is not part of the broad eastern cereal or subtropical plantation belts.
Cape Colony,Dye Plantation,Arable Resource,no_material_historical_support,not_needed,unchanged_baseline,no,no,keep,excluded,Gameplay crop availability is reviewed against the 1836-1936 state basket rather than a single-year output series.,Broader climatic or neighboring analogies are not treated as local support when the reviewed basket excludes the crop.,Western Cape core plus the small modern Northern Cape coastal strip inside STATE_CAPE_COLONY,"Mediterranean grain-and-vine core, southern coastal timber belt, and the small north-coast strip inside the split footprint",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",1,no,Dye Plantation is outside the reviewed Cape Colony basket: Western Cape is not part of the broad eastern cereal or subtropical plantation belts.
Cape Colony,Opium,Arable Resource,no_material_historical_support,not_needed,unchanged_baseline,no,no,keep,excluded,Gameplay crop availability is reviewed against the 1836-1936 state basket rather than a single-year output series.,Broader climatic or neighboring analogies are not treated as local support when the reviewed basket excludes the crop.,Western Cape core plus the small modern Northern Cape coastal strip inside STATE_CAPE_COLONY,"Mediterranean grain-and-vine core, southern coastal timber belt, and the small north-coast strip inside the split footprint",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape row: wheat, wine, livestock strongly; tobacco only in pockets.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^wc]: Western Cape is Mediterranean with strong wine, wheat, wool, lucerne, and fruit production.",1,no,Opium is outside the reviewed Cape Colony basket: Western Cape is not part of the broad eastern cereal or subtropical plantation belts.
