entity,resource,gdp_geography_used,gdp_geography_level,gdp_reference_value,gdp_anchor_year,gdp_value_at_anchor_year,selected_resource_year,selection_mode,gdp_distance_ratio,gdp_comparability_status,target_estimation_method,interpolation_used,comparator_included_in_denominator,comparator_basket_coverage_share,selection_note
Zululand,Coal Mine,South Africa,national,10928.0,2008,10977.146797,1903,gdp_match,0.7647327964860908,,,no,,,Selected candidate year 1903 because its GDP per capita is closest to the GBR 1940 reference anchor.
Eastern Cape,Coal Mine,South Africa,national,10928.0,2008,10977.146797,1902,gdp_match,0.824396046852123,,,no,,,Selected candidate year 1902 because its GDP per capita is closest to the GBR 1940 reference anchor.
West Transvaal,Gold Fields (discovered),South Africa,national,10928.0,2008,10977.146797,1936,gdp_match,0.7210834553440703,,,no,,,Selected candidate year 1936 because its GDP per capita is closest to the GBR 1940 reference anchor.
Northern Transvaal,Iron Mine,South Africa,national,10928.0,2008,10977.146797,2010,gdp_match,0.035743461658125884,,,no,,,Selected candidate year 2010 because its GDP per capita is closest to the GBR 1940 reference anchor.
Zambezi,Coal Mine,Zimbabwe,national,10928.0,1998,2369.019124,1991,economic_peak_fallback,0.796645741306735,,,no,,,Zimbabwe never reaches GBR 1940 GDP per capita in the frozen series; candidate year 1991 is the strongest available development match under that ceiling.
Zambezi,Lead Mine,Zimbabwe,,10928.0,,,1909,manual_override,,,,no,,,Mapped GDP geography lacks a value for the candidate resource years; representative year stayed manual.
Cape Colony,Fishing,South Africa,national,10928.0,2008,10977.146797,2022,gdp_match,0.04464557970351388,,,no,,,Selected candidate year 2022 because its GDP per capita is closest to the GBR 1940 reference anchor.
Northern Cape,Iron Mine,South Africa,national,10928.0,2008,10977.146797,2010,gdp_match,0.035743461658125884,,,no,,,Selected candidate year 2010 because its GDP per capita is closest to the GBR 1940 reference anchor.
Eastern Transvaal,Coal Mine,South Africa,national,10928.0,2008,10977.146797,2008,gdp_match,0.004497327690336697,,,no,,,Selected candidate year 2008 because its GDP per capita is closest to the GBR 1940 reference anchor.
West Transvaal,Coal Mine,South Africa,national,10928.0,2008,10977.146797,1948,gdp_match,0.6478770131771596,,,no,,,Selected candidate year 1948 because its GDP per capita is closest to the GBR 1940 reference anchor.
