state,advantage_type,primary_resources,preferred_layer,keep_out_of_caps,note,citation_1_title,citation_1_url,citation_1_locator,citation_2_title,citation_2_url,citation_2_locator
Cape Colony,export_orientation,Arable Land; Fishing; Wood,state_modifier,yes,Cape Colony's port access and export orientation should stay outside raw caps; the cap model should not carry maritime-commercial advantage by itself.,cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,"Cape economy combines wheat, wine, wool, fishing, and shipping-facing commerce.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Western Cape profile is diversified and export-oriented, not just a raw land-capacity story."
Northern Cape,discoverability_unlock,Lead Mine; Gold Fields; Arable Land,discoverability_unlock,yes,Northern Cape's full split-state footprint still behaves as a patchy discovery and enclave-development state rather than a uniformly high raw-capacity one.,cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,Namaqualand mining is real but enclave-like rather than a broad province-wide economy.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Northern Cape analogues are arid, sparse, and unevenly developed."
Eastern Cape,resource_diversity,Arable Land; Wood; Fishing,state_modifier,yes,Eastern Cape's value is mixed-farming breadth plus coastal access; that breadth should be reinforced outside raw cap inflation.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Eastern Cape combines grain, stock, timber, and coastal production.",cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,Eastern Cape has a broader agrarian and timber mix than a single cap family can express.
West Transvaal,infrastructure_access,Gold Mine; Coal Mine; Arable Land,state_modifier,yes,"Implement West Transvaal as a future state modifier in common/static_modifiers/sb_modifiers.txt, applied from Transvaal ownership logic in common/on_actions/sb_on_actions.txt once the west-plateau industrial core is consolidated; do not raise raw caps.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Gauteng and the western plateau are urban-industrial and mining-linked.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Transvaal mineral development is tightly linked to industrial concentration and infrastructure.
Eastern Transvaal,climate_reliability,Arable Land; Wood; Coal Mine,state_modifier,yes,Eastern Transvaal's humid escarpment reliability and multiproduct structure should not be carried only by raw cap differences.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"Mpumalanga and Eswatini combine forestry, sugar, maize, and citrus across a humid gradient.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Eastern Transvaal profile is broad and climate-favored rather than just larger-capacity land.
Northern Transvaal,crop_diversity,Arable Land; Wood,journal_flavour,yes,Northern Transvaal's warm subtropical mix matters more as crop diversity and frontier character than as large cap inflation.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Limpopo combines maize, tobacco, cotton, bananas, and livestock.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Limpopo is mixed-farming first rather than a single dominant resource belt.
Transorangia,grain_heartland,Arable Land,state_modifier,yes,Transorangia's interior grain-heartland identity should be expressed as efficiency/reliability rather than ever-higher cap values.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Free State is a wheat-maize-livestock heartland.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Free State analogues emphasize scale and consistency more than special crops.
Zululand,coastal_sugar_coal_mix,Arable Land; Coal Mine; Fishing; Wood,state_modifier,yes,Zululand's full KwaZulu-Natal split-state footprint is still best expressed through a localized sugar-fishing-coal-timber mix rather than through raw cap inflation alone.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"KwaZulu-Natal is the strongest South African sugar state and supports bananas, tea pockets, livestock, and a useful fishery arc.",mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,KwaZulu-Natal is the medium-weight coal state between the Eastern Cape start and the heavier Transvaal coal basins.
Drakensberg,niche_pastoral_quality,Arable Land,journal_flavour,yes,"Implement Drakensberg through journal flavour on je_sb_settle_drakensberg / je_sb_bst_ora_frontier in common/journal_entries/1-07_sb_bst_frontier.txt, with mountain-pastoral flavour and any niche reward attached there rather than through higher raw caps.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Lesotho is a mountain grain-and-pastoral system with strong wool/mohair identity.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Drakensberg profile is constrained but distinctive.
Botswana,ranching_quality,Arable Land,state_modifier,yes,Implement Botswana as a future ranching-quality state modifier applied across the full state footprint in common/static_modifiers/sb_modifiers.txt or equivalent ownership logic; do not inflate raw caps.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Botswana is cattle-first with narrow cereal corridors.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Botswana analogues are semi-arid agropastoral systems.
Lourenço Marques,port_littoral_access,Arable Land; Fishing,state_modifier,yes,Lourenço Marques should benefit from littoral trade and port access across the full southern Mozambique split-state footprint rather than through raw-cap inflation.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Southern Mozambique is coastal, riverine, and plantation-linked rather than just a land-capacity story.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Lourenço Marques analogues emphasize coastal mixed-crop access.
Zambezi,estate_crop_quality,Arable Land; Wood; Gold Fields (undiscovered),state_modifier,yes,"Zambezi's full Zimbabwe footprint should not be reduced to eastern estate belts, and its estate-quality differentiation should not be represented only as more cap volume.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Zimbabwe combines tobacco, wheat, sugar, tea, coffee, cotton, maize, and livestock across distinct belts.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Zimbabwe analogues are broad and diversified rather than just cap-heavy.
Hereroland,enclave_mineral_quality,Lead Mine; Arable Land,journal_flavour,yes,Hereroland's full northern Namibia footprint is not a uniformly rich state-wide endowment; its mining significance is enclave quality and district identity.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Tsumeb/Otavi and Berg Aukas are high-quality but concentrated districts.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Northern Namibia remains agropastoral outside concentrated mining nodes.
Namaqualand,enclave_irrigation,Arable Land; Lead Mine,journal_flavour,yes,"Namaqualand's full southern Namibia footprint is still an enclave irrigation and niche-mining state, not a broad land- or forestry-capacity one.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Southern Namibia is sheep-and-goat country with narrow irrigated river pockets.,cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,Namaqualand-style economies are enclave and corridor based rather than broad-capacity systems.
