adjustment_key,state,resource,family,observed_output_x,output_addition_y,plausibility_haircut_z,adjusted_output,denominator_units_per_cap,base_cap,adjusted_cap,minimum_operating_floor_cap,documented_working_floor_eligible,final_audited_cap,exception_status,problem_type,adjustment_reason,earliest_commercial_activity_year,flagship_scale_year,representative_max_year,representative_max_output,year_selection_reason,gdp_geography_used,gdp_geography_level,gdp_anchor_year,gdp_value_at_anchor_year,selected_resource_year,selection_mode,gdp_distance_ratio,gdp_comparability_status,target_estimation_method,interpolation_used,comparator_included_in_denominator,comparator_basket_coverage_share,selection_note,counterevidence_status,counterevidence_note,plausibility_1936_status,observed_output_x_reason,y_basis,y_reason,y_counterevidence_trigger,y_quantification_method,z_reason,audit_class,proxy_kind,proxy_native_unit,proxy_to_slot_note,citation_1_title,citation_1_url,citation_1_locator,citation_2_title,citation_2_url,citation_2_locator,calculation_note
cape-colony::coal-mine,Cape Colony,Coal Mine,Coal Mine,0.0,0.0,0.0,0.0,468047.3434204712,,0.0,,no,0,,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
cape-colony::fishing,Cape Colony,Fishing,Fishing,44606.17731703577,43885.615669,0.0,88491.79298603577,5950.541160752551,7.496154738201077,14.871217691878703,,no,15,,undercounting,Reclassified the Cape fishing uplift as target-side rather than comparator-driven because the omitted horse-mackerel component is evidenced directly in the western pelagic history.,,,,,,South Africa,national,2008,10977.146797,2022,gdp_match,0.04464557970351388,,,no,,,Selected candidate year 2022 because its GDP per capita is closest to the GBR 1940 reference anchor.,,,,,direct_target_gap,Quantified target-side addition for the western pelagic complex: the raw target uses a long-run small-pelagic average but omits the historical horse-mackerel component discussed in the cited fishery history.,Reclassified the Cape fishing uplift as target-side rather than comparator-driven because the omitted horse-mackerel component is evidenced directly in the western pelagic history.,Strict audit pass: classified the Cape fishing uplift as a direct missing fishery component.,No downward plausibility haircut.,direct_plus_gapfill,,,,Status of the South African marine fishery resources 2025,https://www.dffe.gov.za/sites/default/files/reports/research/fisheries/statusofsouthafrican_marinefisheryresources2025.pdf,"Small pelagic history section: annual sardine catches stayed below 200,000 t in the early postwar period while horse-mackerel later peaked around 120,000 t.",Status of the South African Marine Fishery Resources 2023,https://www.dffe.gov.za/sites/default/files/reports/research/fisheries/statusofsouthafrican_marinefisheryresources2023.pdf,"Small pelagic section, Figure 62 discussion: the long-term average annual combined catch of anchovy, sardine, and round herring is about 333,000 t.",Strict audit pass: classified the Cape fishing uplift as a direct missing fishery component.
cape-colony::gold-mine,Cape Colony,Gold Mine,Gold Mine,0.0,0.0,0.0,,4.638038205553189,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept the gold-mine slot at zero because there is no frozen target observation for a commercial gold-mine row in this state and the proposal registry does not defend one for the 1836-1936 horizon.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry rejects a standalone gold-mine slot here; any gold-family logic for this state stays out of the capped row until direct target evidence is frozen.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Cape Colony / Gold Mine row in the proposal registry.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Use alongside the proposal registry for state-level mining plausibility checks.,Explicit zero retained for Gold Mine despite a live comparator family because the target-side evidence chain is still absent.
cape-colony::iron-mine,Cape Colony,Iron Mine,Iron Mine,0.0,0.0,0.0,,63712.72421147216,,,,no,0,manual_zero_exception,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
cape-colony::lead-mine,Cape Colony,Lead Mine,Lead Mine,0.0,0.0,0.0,,1424.3862580391383,,,,no,0,manual_zero_exception,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
cape-colony::sulfur-mine,Cape Colony,Sulfur Mine,Sulfur Mine,0.0,0.0,0.0,,724.5356827022321,,,,no,0,manual_zero_exception,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
cape-colony::whaling,Cape Colony,Whaling,Whaling,0.0,0.0,0.0,,,,,,no,4,qualitative_slot_exception,manual family after searched evidence,"Retained a small whaling slot as an explicit exception because the frozen package still lacks a reproducible quantitative whaling anchor, but the reviewed coastal literature supports a real commercial whaling presence in this state footprint.",,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,"Proposal registry and family research both support keeping a small whaling slot here, but not escalating it beyond the current cap.",pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Cape Colony / Whaling row in the proposal registry.,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Whaling section: keep the family on the Atlantic and Cape side, not as a generic slot for the whole coast or inland states.",Explicit qualitative whaling exception retained because slot support is real but still underdetermined quantitatively.
cape-colony::gold-fields-discovered,Cape Colony,Gold Fields (discovered),Gold Fields,0.0,0.0,0.0,,4.638038205553189,,,,no,0,manual_zero_exception,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
cape-colony::gold-fields-undiscovered,Cape Colony,Gold Fields (undiscovered),Gold Fields,0.0,0.0,0.0,,4.638038205553189,,,,no,0,manual_zero_exception,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
cape-colony::oil-discovered,Cape Colony,Oil (discovered),Oil,0.0,0.0,0.0,,,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Cape Colony / Oil (discovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
