state,land_class,representative_year,raw_area_ha,effective_weight,effective_area_ha,year_selection_reason,capacity_note,citation_1_title,citation_1_url,citation_1_locator,citation_2_title,citation_2_url,citation_2_locator,evidence_scope,target_match_status,slot_support_status,localization_discount,validation_note
Cape Colony,high_suitability_plantation,1936,35000.0,1.0,29750.0,Wood is audited as potential effective commercial forestry land; representative year is metadata only and not GDP-selected.,"Western Cape remains plantation-first, but depleted southern coastal forest belts justify a capped restoration allowance above the surviving estate footprint.",Trade & Industrial Policy Strategies: South Africa’s Forestry Value Chain,https://www.tips.org.za/policy-briefs/item/download/1951_b81dc50ab22218561eec628aa634d782,"Western Cape afforested area = 43,146 ha in 2017; used here as the surviving managed-estate floor, not the full potential ceiling.",cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,"Timber was scarce in the arid Cape interior, but the southern coastal mountains retained exploitable forest belts and sawmilling activity.",regional_proxy,partial_overlap,distinct_slot_supported,0.85,Cape Colony wood capacity is bounded by a Western Cape plantation/restoration proxy rather than a perfectly localized surviving estate series.
Cape Colony,moderate_suitability_plantation,1936,65000.0,0.65,35912.5,Wood is audited as potential effective commercial forestry land; representative year is metadata only and not GDP-selected.,"Western Cape remains plantation-first, but depleted southern coastal forest belts justify a capped restoration allowance above the surviving estate footprint.",Trade & Industrial Policy Strategies: South Africa’s Forestry Value Chain,https://www.tips.org.za/policy-briefs/item/download/1951_b81dc50ab22218561eec628aa634d782,"Western Cape afforested area = 43,146 ha in 2017; used here as the surviving managed-estate floor, not the full potential ceiling.",cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,"Timber was scarce in the arid Cape interior, but the southern coastal mountains retained exploitable forest belts and sawmilling activity.",regional_proxy,partial_overlap,distinct_slot_supported,0.85,Cape Colony wood capacity is bounded by a Western Cape plantation/restoration proxy rather than a perfectly localized surviving estate series.
Cape Colony,restorable_commercial_forest,1936,90000.0,0.4,30600.0,Wood is audited as potential effective commercial forestry land; representative year is metadata only and not GDP-selected.,"Western Cape remains plantation-first, but depleted southern coastal forest belts justify a capped restoration allowance above the surviving estate footprint.",Trade & Industrial Policy Strategies: South Africa’s Forestry Value Chain,https://www.tips.org.za/policy-briefs/item/download/1951_b81dc50ab22218561eec628aa634d782,"Western Cape afforested area = 43,146 ha in 2017; used here as the surviving managed-estate floor, not the full potential ceiling.",cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,"Timber was scarce in the arid Cape interior, but the southern coastal mountains retained exploitable forest belts and sawmilling activity.",regional_proxy,partial_overlap,distinct_slot_supported,0.85,Cape Colony wood capacity is bounded by a Western Cape plantation/restoration proxy rather than a perfectly localized surviving estate series.
Cape Colony,marginal_forestry,1936,40000.0,0.15,5100.0,Wood is audited as potential effective commercial forestry land; representative year is metadata only and not GDP-selected.,"Western Cape remains plantation-first, but depleted southern coastal forest belts justify a capped restoration allowance above the surviving estate footprint.",Trade & Industrial Policy Strategies: South Africa’s Forestry Value Chain,https://www.tips.org.za/policy-briefs/item/download/1951_b81dc50ab22218561eec628aa634d782,"Western Cape afforested area = 43,146 ha in 2017; used here as the surviving managed-estate floor, not the full potential ceiling.",cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,"Timber was scarce in the arid Cape interior, but the southern coastal mountains retained exploitable forest belts and sawmilling activity.",regional_proxy,partial_overlap,distinct_slot_supported,0.85,Cape Colony wood capacity is bounded by a Western Cape plantation/restoration proxy rather than a perfectly localized surviving estate series.
Cape Colony,noncommercial_wooded_land,1936,0.0,0.0,0.0,Wood is audited as potential effective commercial forestry land; representative year is metadata only and not GDP-selected.,"Western Cape remains plantation-first, but depleted southern coastal forest belts justify a capped restoration allowance above the surviving estate footprint.",Trade & Industrial Policy Strategies: South Africa’s Forestry Value Chain,https://www.tips.org.za/policy-briefs/item/download/1951_b81dc50ab22218561eec628aa634d782,"Western Cape afforested area = 43,146 ha in 2017; used here as the surviving managed-estate floor, not the full potential ceiling.",cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,"Timber was scarce in the arid Cape interior, but the southern coastal mountains retained exploitable forest belts and sawmilling activity.",regional_proxy,partial_overlap,distinct_slot_supported,0.85,Cape Colony wood capacity is bounded by a Western Cape plantation/restoration proxy rather than a perfectly localized surviving estate series.
Cape Colony,arid_or_unusable,1936,0.0,0.0,0.0,Wood is audited as potential effective commercial forestry land; representative year is metadata only and not GDP-selected.,"Western Cape remains plantation-first, but depleted southern coastal forest belts justify a capped restoration allowance above the surviving estate footprint.",Trade & Industrial Policy Strategies: South Africa’s Forestry Value Chain,https://www.tips.org.za/policy-briefs/item/download/1951_b81dc50ab22218561eec628aa634d782,"Western Cape afforested area = 43,146 ha in 2017; used here as the surviving managed-estate floor, not the full potential ceiling.",cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,"Timber was scarce in the arid Cape interior, but the southern coastal mountains retained exploitable forest belts and sawmilling activity.",regional_proxy,partial_overlap,distinct_slot_supported,0.85,Cape Colony wood capacity is bounded by a Western Cape plantation/restoration proxy rather than a perfectly localized surviving estate series.
Northern Cape,high_suitability_plantation,1936,0.0,1.0,0.0,Wood is audited as potential effective commercial forestry land; representative year is metadata only and not GDP-selected.,Dry interior and riverine fringes do not justify a meaningful commercial forestry belt in this audit.,cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,Timber was scarce in the arid parts of the colony; exploitable forests sat in the southern coastal mountains rather than the dry interior.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Northern Cape and adjacent dry belts are arid-to-semi-arid systems where irrigation and grazing matter far more than forestry.,state_localized,direct,broad_potential_only,1.0,Northern Cape has no distinct commercial forestry slot; broad dryland woodedness does not drive x.
Northern Cape,moderate_suitability_plantation,1936,0.0,0.65,0.0,Wood is audited as potential effective commercial forestry land; representative year is metadata only and not GDP-selected.,Dry interior and riverine fringes do not justify a meaningful commercial forestry belt in this audit.,cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,Timber was scarce in the arid parts of the colony; exploitable forests sat in the southern coastal mountains rather than the dry interior.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Northern Cape and adjacent dry belts are arid-to-semi-arid systems where irrigation and grazing matter far more than forestry.,state_localized,direct,broad_potential_only,1.0,Northern Cape has no distinct commercial forestry slot; broad dryland woodedness does not drive x.
Northern Cape,restorable_commercial_forest,1936,0.0,0.4,0.0,Wood is audited as potential effective commercial forestry land; representative year is metadata only and not GDP-selected.,Dry interior and riverine fringes do not justify a meaningful commercial forestry belt in this audit.,cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,Timber was scarce in the arid parts of the colony; exploitable forests sat in the southern coastal mountains rather than the dry interior.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Northern Cape and adjacent dry belts are arid-to-semi-arid systems where irrigation and grazing matter far more than forestry.,state_localized,direct,broad_potential_only,1.0,Northern Cape has no distinct commercial forestry slot; broad dryland woodedness does not drive x.
Northern Cape,marginal_forestry,1936,0.0,0.15,0.0,Wood is audited as potential effective commercial forestry land; representative year is metadata only and not GDP-selected.,Dry interior and riverine fringes do not justify a meaningful commercial forestry belt in this audit.,cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,Timber was scarce in the arid parts of the colony; exploitable forests sat in the southern coastal mountains rather than the dry interior.,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Northern Cape and adjacent dry belts are arid-to-semi-arid systems where irrigation and grazing matter far more than forestry.,state_localized,direct,broad_potential_only,1.0,Northern Cape has no distinct commercial forestry slot; broad dryland woodedness does not drive x.
